新华社北京9月26日电 近日，中共中央、国务院印发了《乡村振兴战略规划（2018－2022年）》，并发出通知，要求各地区各部门结合实际认真贯彻落实。
按照建设现代化经济体系的要求，加快农业结构调整步伐，着力推动农业由增产导向转向提质导向，提高农业供给体系的整体质量和效率，加快实现由农业大国向农业强国转变。
第一节　优化农业生产力布局
以全国主体功能区划确定的农产品主产区为主体，立足各地农业资源禀赋和比较优势，构建优势区域布局和专业化生产格局，打造农业优化发展区和农业现代化先行区。东北地区重点提升粮食生产能力，依托“大粮仓”打造粮肉奶综合供应基地。华北地区着力稳定粮油和蔬菜、畜产品生产保障能力，发展节水型农业。长江中下游地区切实稳定粮油生产能力，优化水网地带生猪养殖布局，大力发展名优水产品生产。华南地区加快发展现代畜禽水产和特色园艺产品，发展具有出口优势的水产品养殖。西北、西南地区和北方农牧交错区加快调整产品结构，限制资源消耗大的产业规模，壮大区域特色产业。青海、西藏等生态脆弱区域坚持保护优先、限制开发，发展高原特色农牧业。
第二节　推进农业结构调整
加快发展粮经饲统筹、种养加一体、农牧渔结合的现代农业，促进农业结构不断优化升级。统筹调整种植业生产结构，稳定水稻、小麦生产，有序调减非优势区籽粒玉米，进一步扩大大豆生产规模，巩固主产区棉油糖胶生产，确保一定的自给水平。大力发展优质饲料牧草，合理利用退耕地、南方草山草坡和冬闲田拓展饲草发展空间。推进畜牧业区域布局调整，合理布局规模化养殖场，大力发展种养结合循环农业，促进养殖废弃物就近资源化利用。优化畜牧业生产结构，大力发展草食畜牧业，做大做强民族奶业。加强渔港经济区建设，推进渔港渔区振兴。合理确定内陆水域养殖规模，发展集约化、工厂化水产养殖和深远海养殖，降低江河湖泊和近海渔业捕捞强度，规范有序发展远洋渔业。
第三节　壮大特色优势产业
以各地资源禀赋和独特的历史文化为基础，有序开发优势特色资源，做大做强优势特色产业。创建特色鲜明、优势集聚、市场竞争力强的特色农产品优势区，支持特色农产品优势区建设标准化生产基地、加工基地、仓储物流基地，完善科技支撑体系、品牌与市场营销体系、质量控制体系，建立利益联结紧密的建设运行机制，形成特色农业产业集群。按照与国际标准接轨的目标，支持建立生产精细化管理与产品品质控制体系，采用国际通行的良好农业规范，塑造现代顶级农产品品牌。实施产业兴村强县行动，培育农业产业强镇，打造一乡一业、一村一品的发展格局。
第四节　保障农产品质量安全
实施食品安全战略，加快完善农产品质量和食品安全标准、监管体系，加快建立农产品质量分级及产地准出、市场准入制度。完善农兽药残留限量标准体系，推进农产品生产投入品使用规范化。建立健全农产品质量安全风险评估、监测预警和应急处置机制。实施动植物保护能力提升工程，实现全国动植物检疫防疫联防联控。完善农产品认证体系和农产品质量安全监管追溯系统，着力提高基层监管能力。落实生产经营者主体责任，强化农产品生产经营者的质量安全意识。建立农资和农产品生产企业信用信息系统，对失信市场主体开展联合惩戒。
第五节　培育提升农业品牌
实施农业品牌提升行动，加快形成以区域公用品牌、企业品牌、大宗农产品品牌、特色农产品品牌为核心的农业品牌格局。推进区域农产品公共品牌建设，擦亮老品牌，塑强新品牌，引入现代要素改造提升传统名优品牌，努力打造一批国际知名的农业品牌和国际品牌展会。做好品牌宣传推介，借助农产品博览会、展销会等渠道，充分利用电商、“互联网+”等新兴手段，加强品牌市场营销。加强农产品商标及地理标志商标的注册和保护，构建我国农产品品牌保护体系，打击各种冒用、滥用公用品牌行为，建立区域公用品牌的授权使用机制以及品牌危机预警、风险规避和紧急事件应对机制。
第六节　构建农业对外开放新格局
建立健全农产品贸易政策体系。实施特色优势农产品出口提升行动，扩大高附加值农产品出口。积极参与全球粮农治理。加强与“一带一路”沿线国家合作，积极支持有条件的农业企业走出去。建立农业对外合作公共信息服务平台和信用评价体系。放宽农业外资准入，促进引资引技引智相结合。

图表：专栏3 质量兴农重大工程 新华社发
第十三章　建立现代农业经营体系
坚持家庭经营在农业中的基础性地位，构建家庭经营、集体经营、合作经营、企业经营等共同发展的新型农业经营体系，发展多种形式适度规模经营，发展壮大农村集体经济，提高农业的集约化、专业化、组织化、社会化水平，有效带动小农户发展。
第一节　巩固和完善农村基本经营制度
落实农村土地承包关系稳定并长久不变政策，衔接落实好第二轮土地承包到期后再延长30年的政策，让农民吃上长效“定心丸”。全面完成土地承包经营权确权登记颁证工作，完善农村承包地“三权分置”制度，在依法保护集体所有权和农户承包权前提下，平等保护土地经营权。建立农村产权交易平台，加强土地经营权流转和规模经营的管理服务。加强农用地用途管制。完善集体林权制度，引导规范有序流转，鼓励发展家庭林场、股份合作林场。发展壮大农垦国有农业经济，培育一批具有国际竞争力的农垦企业集团。
第二节　壮大新型农业经营主体
实施新型农业经营主体培育工程，鼓励通过多种形式开展适度规模经营。培育发展家庭农场，提升农民专业合作社规范化水平，鼓励发展农民专业合作社联合社。不断壮大农林产业化龙头企业，鼓励建立现代企业制度。鼓励工商资本到农村投资适合产业化、规模化经营的农业项目，提供区域性、系统性解决方案，与当地农户形成互惠共赢的产业共同体。加快建立新型经营主体支持政策体系和信用评价体系，落实财政、税收、土地、信贷、保险等支持政策，扩大新型经营主体承担涉农项目规模。
第三节　发展新型农村集体经济
深入推进农村集体产权制度改革，推动资源变资产、资金变股金、农民变股东，发展多种形式的股份合作。完善农民对集体资产股份的占有、收益、有偿退出及抵押、担保、继承等权能和管理办法。研究制定农村集体经济组织法，充实农村集体产权权能。鼓励经济实力强的农村集体组织辐射带动周边村庄共同发展。发挥村党组织对集体经济组织的领导核心作用，防止内部少数人控制和外部资本侵占集体资产。
第四节　促进小农户生产和现代农业发展有机衔接
改善小农户生产设施条件，提高个体农户抵御自然风险能力。发展多样化的联合与合作，提升小农户组织化程度。鼓励新型经营主体与小农户建立契约型、股权型利益联结机制，带动小农户专业化生产，提高小农户自我发展能力。健全农业社会化服务体系，大力培育新型服务主体，加快发展“一站式”农业生产性服务业。加强工商企业租赁农户承包地的用途监管和风险防范，健全资格审查、项目审核、风险保障金制度，维护小农户权益。

图表：专栏4 现代农业经营体系培育工程
新华社发第十四章　强化农业科技支撑
深入实施创新驱动发展战略，加快农业科技进步，提高农业科技自主创新水平、成果转化水平，为农业发展拓展新空间、增添新动能，引领支撑农业转型升级和提质增效。
第一节　提升农业科技创新水平
培育符合现代农业发展要求的创新主体，建立健全各类创新主体协调互动和创新要素高效配置的国家农业科技创新体系。强化农业基础研究，实现前瞻性基础研究和原创性重大成果突破。加强种业创新、现代食品、农机装备、农业污染防治、农村环境整治等方面的科研工作。深化农业科技体制改革，改进科研项目评审、人才评价和机构评估工作，建立差别化评价制度。深入实施现代种业提升工程，开展良种重大科研联合攻关，培育具有国际竞争力的种业龙头企业，推动建设种业科技强国。
第二节　打造农业科技创新平台基地
建设国家农业高新技术产业示范区、国家农业科技园区、省级农业科技园区，吸引更多的农业高新技术企业到科技园区落户，培育国际领先的农业高新技术企业，形成具有国际竞争力的农业高新技术产业。新建一批科技创新联盟，支持农业高新技术企业建立高水平研发机构。利用现有资源建设农业领域国家技术创新中心，加强重大共性关键技术和产品研发与应用示范。建设农业科技资源开放共享与服务平台，充分发挥重要公共科技资源优势，推动面向科技界开放共享，整合和完善科技资源共享服务平台。
第三节　加快农业科技成果转化应用
鼓励高校、科研院所建立一批专业化的技术转移机构和面向企业的技术服务网络，通过研发合作、技术转让、技术许可、作价投资等多种形式，实现科技成果市场价值。健全省市县三级科技成果转化工作网络，支持地方大力发展技术交易市场。面向绿色兴农重大需求，加大绿色技术供给，加强集成应用和示范推广。健全基层农业技术推广体系，创新公益性农技推广服务方式，支持各类社会力量参与农技推广，全面实施农技推广服务特聘计划，加强农业重大技术协同推广。健全农业科技领域分配政策，落实科研成果转化及农业科技创新激励相关政策。

图表：专栏5 农业科技创新支撑重大工程
新华社发第十五章　完善农业支持保护制度
以提升农业质量效益和竞争力为目标，强化绿色生态导向，创新完善政策工具和手段，加快建立新型农业支持保护政策体系。
第一节　加大支农投入力度
建立健全国家农业投入增长机制，政府固定资产投资继续向农业倾斜，优化投入结构，实施一批打基础、管长远、影响全局的重大工程，加快改变农业基础设施薄弱状况。建立以绿色生态为导向的农业补贴制度，提高农业补贴政策的指向性和精准性。落实和完善对农民直接补贴制度。完善粮食主产区利益补偿机制。继续支持粮改饲、粮豆轮作和畜禽水产标准化健康养殖，改革完善渔业油价补贴政策。完善农机购置补贴政策，鼓励对绿色农业发展机具、高性能机具以及保证粮食等主要农产品生产机具实行敞开补贴。
第二节　深化重要农产品收储制度改革
深化玉米收储制度改革，完善市场化收购加补贴机制。合理制定大豆补贴政策。完善稻谷、小麦最低收购价政策，增强政策灵活性和弹性，合理调整最低收购价水平，加快建立健全支持保护政策。深化国有粮食企业改革，培育壮大骨干粮食企业，引导多元市场主体入市收购，防止出现卖粮难。深化棉花目标价格改革，研究完善食糖（糖料）、油料支持政策，促进价格合理形成，激发企业活力，提高国内产业竞争力。
第三节　提高农业风险保障能力
完善农业保险政策体系，设计多层次、可选择、不同保障水平的保险产品。积极开发适应新型农业经营主体需求的保险品种，探索开展水稻、小麦、玉米三大主粮作物完全成本保险和收入保险试点，鼓励开展天气指数保险、价格指数保险、贷款保证保险等试点。健全农业保险大灾风险分散机制。发展农产品期权期货市场，扩大“保险+期货”试点，探索“订单农业+保险+期货（权）”试点。健全国门生物安全查验机制，推进口岸动植物检疫规范化建设。强化边境管理，打击农产品走私。完善农业风险管理和预警体系。
第五篇　发展壮大乡村产业
以完善利益联结机制为核心，以制度、技术和商业模式创新为动力，推进农村一二三产业交叉融合，加快发展根植于农业农村、由当地农民主办、彰显地域特色和乡村价值的产业体系，推动乡村产业全面振兴。
第十六章　推动农村产业深度融合
把握城乡发展格局发生重要变化的机遇，培育农业农村新产业新业态，打造农村产业融合发展新载体新模式，推动要素跨界配置和产业有机融合，让农村一二三产业在融合发展中同步升级、同步增值、同步受益。
第一节　发掘新功能新价值
顺应城乡居民消费拓展升级趋势，结合各地资源禀赋，深入发掘农业农村的生态涵养、休闲观光、文化体验、健康养老等多种功能和多重价值。遵循市场规律，推动乡村资源全域化整合、多元化增值，增强地方特色产品时代感和竞争力，形成新的消费热点，增加乡村生态产品和服务供给。实施农产品加工业提升行动，支持开展农产品生产加工、综合利用关键技术研究与示范，推动初加工、精深加工、综合利用加工和主食加工协调发展，实现农产品多层次、多环节转化增值。
第二节　培育新产业新业态
深入实施电子商务进农村综合示范，建设具有广泛性的农村电子商务发展基础设施，加快建立健全适应农产品电商发展的标准体系。研发绿色智能农产品供应链核心技术，加快培育农业现代供应链主体。加强农商互联，密切产销衔接，发展农超、农社、农企、农校等产销对接的新型流通业态。实施休闲农业和乡村旅游精品工程，发展乡村共享经济等新业态，推动科技、人文等元素融入农业。强化农业生产性服务业对现代农业产业链的引领支撑作用，构建全程覆盖、区域集成、配套完备的新型农业社会化服务体系。清理规范制约农业农村新产业新业态发展的行政审批事项。着力优化农村消费环境，不断优化农村消费结构，提升农村消费层次。
第三节　打造新载体新模式
依托现代农业产业园、农业科技园区、农产品加工园、农村产业融合发展示范园等，打造农村产业融合发展的平台载体，促进农业内部融合、延伸农业产业链、拓展农业多种功能、发展农业新型业态等多模式融合发展。加快培育农商产业联盟、农业产业化联合体等新型产业链主体，打造一批产加销一体的全产业链企业集群。推进农业循环经济试点示范和田园综合体试点建设。加快培育一批“农字号”特色小镇，在有条件的地区建设培育特色商贸小镇，推动农村产业发展与新型城镇化相结合。
第十七章　完善紧密型利益联结机制
始终坚持把农民更多分享增值收益作为基本出发点，着力增强农民参与融合能力，创新收益分享模式，健全联农带农有效激励机制，让农民更多分享产业融合发展的增值收益。
第一节　提高农民参与程度
鼓励农民以土地、林权、资金、劳动、技术、产品为纽带，开展多种形式的合作与联合，依法组建农民专业合作社联合社，强化农民作为市场主体的平等地位。引导农村集体经济组织挖掘集体土地、房屋、设施等资源和资产潜力，依法通过股份制、合作制、股份合作制、租赁等形式，积极参与产业融合发展。积极培育社会化服务组织，加强农技指导、信用评价、保险推广、市场预测、产品营销等服务，为农民参与产业融合创造良好条件。
第二节　创新收益分享模式
加快推广“订单收购+分红”、“土地流转+优先雇用+社会保障”、“农民入股+保底收益+按股分红”等多种利益联结方式，让农户分享加工、销售环节收益。鼓励行业协会或龙头企业与合作社、家庭农场、普通农户等组织共同营销，开展农产品销售推介和品牌运作，让农户更多分享产业链增值收益。鼓励农业产业化龙头企业通过设立风险资金、为农户提供信贷担保、领办或参办农民合作组织等多种形式，与农民建立稳定的订单和契约关系。完善涉农股份合作制企业利润分配机制，明确资本参与利润分配比例上限。
第三节　强化政策扶持引导
更好发挥政府扶持资金作用，强化龙头企业、合作组织联农带农激励机制，探索将新型农业经营主体带动农户数量和成效作为安排财政支持资金的重要参考依据。以土地、林权为基础的各种形式合作，凡是享受财政投入或政策支持的承包经营者均应成为股东方。鼓励将符合条件的财政资金特别是扶贫资金量化到农村集体经济组织和农户后，以自愿入股方式投入新型农业经营主体，对农户土地经营权入股部分采取特殊保护，探索实行农民负盈不负亏的分配机制。
第十八章　激发农村创新创业活力
坚持市场化方向，优化农村创新创业环境，放开搞活农村经济，合理引导工商资本下乡，推动乡村大众创业万众创新，培育新动能。
第一节　培育壮大创新创业群体
推进产学研合作，加强科研机构、高校、企业、返乡下乡人员等主体协同，推动农村创新创业群体更加多元。培育以企业为主导的农业产业技术创新战略联盟，加速资金、技术和服务扩散，带动和支持返乡创业人员依托相关产业链创业发展。整合政府、企业、社会等多方资源，推动政策、技术、资本等各类要素向农村创新创业集聚。鼓励农民就地创业、返乡创业，加大各方资源支持本地农民兴业创业力度。深入推行科技特派员制度，引导科技、信息、资金、管理等现代生产要素向乡村集聚。
第二节　完善创新创业服务体系
发展多种形式的创新创业支撑服务平台，健全服务功能，开展政策、资金、法律、知识产权、财务、商标等专业化服务。建立农村创新创业园区（基地），鼓励农业企业建立创新创业实训基地。鼓励有条件的县级政府设立“绿色通道”，为返乡下乡人员创新创业提供便利服务。建设一批众创空间、“星创天地”，降低创业门槛。依托基层就业和社会保障服务平台，做好返乡人员创业服务、社保关系转移接续等工作。
第三节　建立创新创业激励机制
加快将现有支持“双创”相关财政政策措施向返乡下乡人员创新创业拓展，把返乡下乡人员开展农业适度规模经营所需贷款按规定纳入全国农业信贷担保体系支持范围。适当放宽返乡创业园用电用水用地标准，吸引更多返乡人员入园创业。各地年度新增建设用地计划指标，要确定一定比例用于支持农村新产业新业态发展。落实好减税降费政策，支持农村创新创业。

图表：专栏6 构建乡村产业体系重大工程
新华社发第六篇　建设生态宜居的美丽乡村
牢固树立和践行绿水青山就是金山银山的理念，坚持尊重自然、顺应自然、保护自然，统筹山水林田湖草系统治理，加快转变生产生活方式，推动乡村生态振兴，建设生活环境整洁优美、生态系统稳定健康、人与自然和谐共生的生态宜居美丽乡村。
第十九章　推进农业绿色发展
以生态环境友好和资源永续利用为导向，推动形成农业绿色生产方式，实现投入品减量化、生产清洁化、废弃物资源化、产业模式生态化，提高农业可持续发展能力。
第一节　强化资源保护与节约利用
实施国家农业节水行动，建设节水型乡村。深入推进农业灌溉用水总量控制和定额管理，建立健全农业节水长效机制和政策体系。逐步明晰农业水权，推进农业水价综合改革，建立精准补贴和节水奖励机制。严格控制未利用地开垦，落实和完善耕地占补平衡制度。实施农用地分类管理，切实加大优先保护类耕地保护力度。降低耕地开发利用强度，扩大轮作休耕制度试点，制定轮作休耕规划。全面普查动植物种质资源，推进种质资源收集保存、鉴定和利用。强化渔业资源管控与养护，实施海洋渔业资源总量管理、海洋渔船“双控”和休禁渔制度，科学划定江河湖海限捕、禁捕区域，建设水生生物保护区、海洋牧场。
第二节　推进农业清洁生产
加强农业投入品规范化管理，健全投入品追溯系统，推进化肥农药减量施用，完善农药风险评估技术标准体系，严格饲料质量安全管理。加快推进种养循环一体化，建立农村有机废弃物收集、转化、利用网络体系，推进农林产品加工剩余物资源化利用，深入实施秸秆禁烧制度和综合利用，开展整县推进畜禽粪污资源化利用试点。推进废旧地膜和包装废弃物等回收处理。推行水产健康养殖，加大近海滩涂养殖环境治理力度，严格控制河流湖库、近岸海域投饵网箱养殖。探索农林牧渔融合循环发展模式，修复和完善生态廊道，恢复田间生物群落和生态链，建设健康稳定田园生态系统。
第三节　集中治理农业环境突出问题
深入实施土壤污染防治行动计划，开展土壤污染状况详查，积极推进重金属污染耕地等受污染耕地分类管理和安全利用，有序推进治理与修复。加强重有色金属矿区污染综合整治。加强农业面源污染综合防治。加大地下水超采治理，控制地下水漏斗区、地表水过度利用区用水总量。严格工业和城镇污染处理、达标排放，建立监测体系，强化经常性执法监管制度建设，推动环境监测、执法向农村延伸，严禁未经达标处理的城镇污水和其他污染物进入农业农村。

图表：专栏7 农业绿色发展行动 新华社发
第二十章　持续改善农村人居环境
以建设美丽宜居村庄为导向，以农村垃圾、污水治理和村容村貌提升为主攻方向，开展农村人居环境整治行动，全面提升农村人居环境质量。
第一节　加快补齐突出短板
推进农村生活垃圾治理，建立健全符合农村实际、方式多样的生活垃圾收运处置体系，有条件的地区推行垃圾就地分类和资源化利用。开展非正规垃圾堆放点排查整治。实施“厕所革命”，结合各地实际普及不同类型的卫生厕所，推进厕所粪污无害化处理和资源化利用。梯次推进农村生活污水治理，有条件的地区推动城镇污水管网向周边村庄延伸覆盖。逐步消除农村黑臭水体，加强农村饮用水水源地保护。
第二节　着力提升村容村貌
科学规划村庄建筑布局，大力提升农房设计水平，突出乡土特色和地域民族特点。加快推进通村组道路、入户道路建设，基本解决村内道路泥泞、村民出行不便等问题。全面推进乡村绿化，建设具有乡村特色的绿化景观。完善村庄公共照明设施。整治公共空间和庭院环境，消除私搭乱建、乱堆乱放。继续推进城乡环境卫生整洁行动，加大卫生乡镇创建工作力度。鼓励具备条件的地区集中连片建设生态宜居的美丽乡村，综合提升田水路林村风貌，促进村庄形态与自然环境相得益彰。
第三节　建立健全整治长效机制
全面完成县域乡村建设规划编制或修编，推进实用性村庄规划编制实施，加强乡村建设规划许可管理。建立农村人居环境建设和管护长效机制，发挥村民主体作用，鼓励专业化、市场化建设和运行管护。推行环境治理依效付费制度，健全服务绩效评价考核机制。探索建立垃圾污水处理农户付费制度，完善财政补贴和农户付费合理分担机制。依法简化农村人居环境整治建设项目审批程序和招投标程序。完善农村人居环境标准体系。

图表：专栏8 农村人居环境整治行动 新华社发
第二十一章　加强乡村生态保护与修复
大力实施乡村生态保护与修复重大工程，完善重要生态系统保护制度，促进乡村生产生活环境稳步改善，自然生态系统功能和稳定性全面提升，生态产品供给能力进一步增强。
第一节　实施重要生态系统保护和修复重大工程
统筹山水林田湖草系统治理，优化生态安全屏障体系。大力实施大规模国土绿化行动，全面建设三北、长江等重点防护林体系，扩大退耕还林还草，巩固退耕还林还草成果，推动森林质量精准提升，加强有害生物防治。稳定扩大退牧还草实施范围，继续推进草原防灾减灾、鼠虫草害防治、严重退化沙化草原治理等工程。保护和恢复乡村河湖、湿地生态系统，积极开展农村水生态修复，连通河湖水系，恢复河塘行蓄能力，推进退田还湖还湿、退圩退垸还湖。大力推进荒漠化、石漠化、水土流失综合治理，实施生态清洁小流域建设，推进绿色小水电改造。加快国土综合整治，实施农村土地综合整治重大行动，推进农用地和低效建设用地整理以及历史遗留损毁土地复垦。加强矿产资源开发集中地区特别是重有色金属矿区地质环境和生态修复，以及损毁山体、矿山废弃地修复。加快近岸海域综合治理，实施蓝色海湾整治行动和自然岸线修复。实施生物多样性保护重大工程，提升各类重要保护地保护管理能力。加强野生动植物保护，强化外来入侵物种风险评估、监测预警与综合防控。开展重大生态修复工程气象保障服务，探索实施生态修复型人工增雨工程。
第二节　健全重要生态系统保护制度
完善天然林和公益林保护制度，进一步细化各类森林和林地的管控措施或经营制度。完善草原生态监管和定期调查制度，严格实施草原禁牧和草畜平衡制度，全面落实草原经营者生态保护主体责任。完善荒漠生态保护制度，加强沙区天然植被和绿洲保护。全面推行河长制湖长制，鼓励将河长湖长体系延伸至村一级。推进河湖饮用水水源保护区划定和立界工作，加强对水源涵养区、蓄洪滞涝区、滨河滨湖带的保护。严格落实自然保护区、风景名胜区、地质遗迹等各类保护地保护制度，支持有条件的地方结合国家公园体制试点，探索对居住在核心区域的农牧民实施生态搬迁试点。
第三节　健全生态保护补偿机制
加大重点生态功能区转移支付力度，建立省以下生态保护补偿资金投入机制。完善重点领域生态保护补偿机制，鼓励地方因地制宜探索通过赎买、租赁、置换、协议、混合所有制等方式加强重点区位森林保护，落实草原生态保护补助奖励政策，建立长江流域重点水域禁捕补偿制度，鼓励各地建立流域上下游等横向补偿机制。推动市场化多元化生态补偿，建立健全用水权、排污权、碳排放权交易制度，形成森林、草原、湿地等生态修复工程参与碳汇交易的有效途径，探索实物补偿、服务补偿、设施补偿、对口支援、干部支持、共建园区、飞地经济等方式，提高补偿的针对性。
第四节　发挥自然资源多重效益
大力发展生态旅游、生态种养等产业，打造乡村生态产业链。进一步盘活森林、草原、湿地等自然资源，允许集体经济组织灵活利用现有生产服务设施用地开展相关经营活动。鼓励各类社会主体参与生态保护修复，对集中连片开展生态修复达到一定规模的经营主体，允许在符合土地管理法律法规和土地利用总体规划、依法办理建设用地审批手续、坚持节约集约用地的前提下，利用1－3%治理面积从事旅游、康养、体育、设施农业等产业开发。深化集体林权制度改革，全面开展森林经营方案编制工作，扩大商品林经营自主权，鼓励多种形式的适度规模经营，支持开展林权收储担保服务。完善生态资源管护机制，设立生态管护员工作岗位，鼓励当地群众参与生态管护和管理服务。进一步健全自然资源有偿使用制度，研究探索生态资源价值评估方法并开展试点。

图表：专栏9 乡村生态保护与修复重大工程 新华社发
第七篇　繁荣发展乡村文化
坚持以社会主义核心价值观为引领，以传承发展中华优秀传统文化为核心，以乡村公共文化服务体系建设为载体，培育文明乡风、良好家风、淳朴民风，推动乡村文化振兴，建设邻里守望、诚信重礼、勤俭节约的文明乡村。
第二十二章　加强农村思想道德建设
持续推进农村精神文明建设，提升农民精神风貌，倡导科学文明生活，不断提高乡村社会文明程度。
第一节　践行社会主义核心价值观
坚持教育引导、实践养成、制度保障三管齐下，采取符合农村特点的方式方法和载体，深化中国特色社会主义和中国梦宣传教育，大力弘扬民族精神和时代精神。加强爱国主义、集体主义、社会主义教育，深化民族团结进步教育。注重典型示范，深入实施时代新人培育工程，推出一批新时代农民的先进模范人物。把社会主义核心价值观融入法治建设，推动公正文明执法司法，彰显社会主流价值。强化公共政策价值导向，探索建立重大公共政策道德风险评估和纠偏机制。
第二节　巩固农村思想文化阵地
推动基层党组织、基层单位、农村社区有针对性地加强农村群众性思想政治工作。加强对农村社会热点难点问题的应对解读，合理引导社会预期。健全人文关怀和心理疏导机制，培育自尊自信、理性平和、积极向上的农村社会心态。深化文明村镇创建活动，进一步提高县级及以上文明村和文明乡镇的占比。广泛开展星级文明户、文明家庭等群众性精神文明创建活动。深入开展“扫黄打非”进基层。重视发挥社区教育作用，做好家庭教育，传承良好家风家训。完善文化科技卫生“三下乡”长效机制。
第三节　倡导诚信道德规范
深入实施公民道德建设工程，推进社会公德、职业道德、家庭美德、个人品德建设。推进诚信建设，强化农民的社会责任意识、规则意识、集体意识和主人翁意识。建立健全农村信用体系，完善守信激励和失信惩戒机制。弘扬劳动最光荣、劳动者最伟大的观念。弘扬中华孝道，强化孝敬父母、尊敬长辈的社会风尚。广泛开展好媳妇、好儿女、好公婆等评选表彰活动，开展寻找最美乡村教师、医生、村官、人民调解员等活动。深入宣传道德模范、身边好人的典型事迹，建立健全先进模范发挥作用的长效机制。
第二十三章　弘扬中华优秀传统文化
立足乡村文明，吸取城市文明及外来文化优秀成果，在保护传承的基础上，创造性转化、创新性发展，不断赋予时代内涵、丰富表现形式，为增强文化自信提供优质载体。
第一节　保护利用乡村传统文化
实施农耕文化传承保护工程，深入挖掘农耕文化中蕴含的优秀思想观念、人文精神、道德规范，充分发挥其在凝聚人心、教化群众、淳化民风中的重要作用。划定乡村建设的历史文化保护线，保护好文物古迹、传统村落、民族村寨、传统建筑、农业遗迹、灌溉工程遗产。传承传统建筑文化，使历史记忆、地域特色、民族特点融入乡村建设与维护。支持农村地区优秀戏曲曲艺、少数民族文化、民间文化等传承发展。完善非物质文化遗产保护制度，实施非物质文化遗产传承发展工程。实施乡村经济社会变迁物证征藏工程，鼓励乡村史志修编。
第二节　重塑乡村文化生态
紧密结合特色小镇、美丽乡村建设，深入挖掘乡村特色文化符号，盘活地方和民族特色文化资源，走特色化、差异化发展之路。以形神兼备为导向，保护乡村原有建筑风貌和村落格局，把民族民间文化元素融入乡村建设，深挖历史古韵，弘扬人文之美，重塑诗意闲适的人文环境和田绿草青的居住环境，重现原生田园风光和原本乡情乡愁。引导企业家、文化工作者、退休人员、文化志愿者等投身乡村文化建设，丰富农村文化业态。
第三节　发展乡村特色文化产业
加强规划引导、典型示范，挖掘培养乡土文化本土人才，建设一批特色鲜明、优势突出的农耕文化产业展示区，打造一批特色文化产业乡镇、文化产业特色村和文化产业群。大力推动农村地区实施传统工艺振兴计划，培育形成具有民族和地域特色的传统工艺产品，促进传统工艺提高品质、形成品牌、带动就业。积极开发传统节日文化用品和武术、戏曲、舞龙、舞狮、锣鼓等民间艺术、民俗表演项目，促进文化资源与现代消费需求有效对接。推动文化、旅游与其他产业深度融合、创新发展。
第二十四章　丰富乡村文化生活
推动城乡公共文化服务体系融合发展，增加优秀乡村文化产品和服务供给，活跃繁荣农村文化市场，为广大农民提供高质量的精神营养。
第一节　健全公共文化服务体系
按照有标准、有网络、有内容、有人才的要求，健全乡村公共文化服务体系。推动县级图书馆、文化馆总分馆制，发挥县级公共文化机构辐射作用，加强基层综合性文化服务中心建设，实现乡村两级公共文化服务全覆盖，提升服务效能。完善农村新闻出版广播电视公共服务覆盖体系，推进数字广播电视户户通，探索农村电影放映的新方法新模式，推进农家书屋延伸服务和提质增效。继续实施公共数字文化工程，积极发挥新媒体作用，使农民群众能便捷获取优质数字文化资源。完善乡村公共体育服务体系，推动村健身设施全覆盖。
第二节　增加公共文化产品和服务供给
深入推进文化惠民，为农村地区提供更多更好的公共文化产品和服务。建立农民群众文化需求反馈机制，推动政府向社会购买公共文化服务，开展“菜单式”、“订单式”服务。加强公共文化服务品牌建设，推动形成具有鲜明特色和社会影响力的农村公共文化服务项目。开展文化结对帮扶。支持“三农”题材文艺创作生产，鼓励文艺工作者推出反映农民生产生活尤其是乡村振兴实践的优秀文艺作品。鼓励各级文艺组织深入农村地区开展惠民演出活动。加强农村科普工作，推动全民阅读进家庭、进农村，提高农民科学文化素养。
第三节　广泛开展群众文化活动
完善群众文艺扶持机制，鼓励农村地区自办文化。培育挖掘乡土文化本土人才，支持乡村文化能人。加强基层文化队伍培训，培养一支懂文艺爱农村爱农民、专兼职相结合的农村文化工作队伍。传承和发展民族民间传统体育，广泛开展形式多样的农民群众性体育活动。鼓励开展群众性节日民俗活动，支持文化志愿者深入农村开展丰富多彩的文化志愿服务活动。活跃繁荣农村文化市场，推动农村文化市场转型升级，加强农村文化市场监管。

图表：专栏10 乡村文化繁荣兴盛重大工程 新华社发
第八篇　健全现代乡村治理体系
把夯实基层基础作为固本之策，建立健全党委领导、政府负责、社会协同、公众参与、法治保障的现代乡村社会治理体制，推动乡村组织振兴，打造充满活力、和谐有序的善治乡村。
第二十五章　加强农村基层党组织对乡村振兴的全面领导
以农村基层党组织建设为主线，突出政治功能，提升组织力，把农村基层党组织建成宣传党的主张、贯彻党的决定、领导基层治理、团结动员群众、推动改革发展的坚强战斗堡垒。
第一节　健全以党组织为核心的组织体系
