工作	gong zuo 
债权人	zhai quan ren 
中外合作	zhong wai he zuo 
检察机关	jian cha ji guan 
管用	guan yong 
急诊科	ji zhen ke 
安保	an bao 
发起	fa qi 
非税	fei shui 
两年	liang nian 
第三款	di san kuan 
郑州	zheng zhou 
现役	xian yi 
总额	zong e 
艺术	yi shu 
金融监管	jin rong jian guan 
统战部门	tong zhan bu men 
暂行规定	zan xing gui ding 
管理法	guan li fa 
阻挠	zu nao 
明显改善	ming xian gai shan 
共生	gong sheng 
并行	bing xing 
仪器设备	yi qi she bei 
杜绝	du jue 
道路交通	dao lu jiao tong 
出租汽车	chu zu qi che 
公安部门	gong an bu men 
技术手段	ji shu shou duan 
切身利益	qie shen li yi 
平时	ping shi 
紧密结合	jin mi jie he 
信仰	xin yang 
交叉	jiao cha 
菜篮子	cai lan zi 
投身	tou shen 
组成员	zu cheng yuan 
市政	shi zheng 
上下游	shang xia you 
美好生活	mei hao sheng huo 
新闻宣传	xin wen xuan chuan 
最多	zui duo 
具体情况	ju ti qing kuang 
纪念馆	ji nian guan 
错误	cuo wu 
听证	ting zheng 
退役	tui yi 
铁路沿线	tie lu yan xian 
期内	qi nei 
市场需求	shi chang xu qiu 
制度性	zhi du xing 
计划单列市	ji hua dan lie shi 
塑造	su zao 
收储	shou chu 
季度	ji du 
委托人	wei tuo ren 
不符	bu fu 
科技人员	ke ji ren yuan 
校企	xiao qi 
供气	gong qi 
创造条件	chuang zao tiao jian 
一二三	yi er san 
差别化	cha bie hua 
发生变化	fa sheng bian hua 
有色金属	you se jin shu 
推出	tui chu 
抽样	chou yang 
公里	gong li 
反恐怖	fan kong bu 
文书	wen shu 
严防	yan fang 
洋垃圾	yang la ji 
第一项	di yi xiang 
临港	lin gang 
流失	liu shi 
崇尚	chong shang 
强度	qiang du 
复核	fu he 
严密	yan mi 
基本路线	ji ben lu xian 
龙头企业	long tou qi ye 
人民警察	ren min jing cha 
分流	fen liu 
奖补	jiang bu 
主导作用	zhu dao zuo yong 
中国银行	zhong guo yin hang 
安居工程	an ju gong cheng 
狠抓	hen zhua 
恶劣影响	e lie ying xiang 
中等职业	zhong deng zhi ye 
整体性	zheng ti xing 
工伤保险	gong shang bao xian 
国家局	guo jia ju 
配套措施	pei tao cuo shi 
降职	jiang zhi 
日报社	ri bao she 
单项	dan xiang 
地下	di xia 
违约	wei yue 
保供	bao gong 
外债	wai zhai 
功能定位	gong neng ding wei 
完整性	wan zheng xing 
第一批	di yi pi 
工会主席	gong hui zhu xi 
宅基地	zhai ji di 
小镇	xiao zhen 
特警	te jing 
疏导	shu dao 
市辖区	shi xia qu 
统战部	tong zhan bu 
以来	yi lai 
财政投入	cai zheng tou ru 
下属单位	xia shu dan wei 
商标注册	shang biao zhu ce 
条约	tiao yue 
智力	zhi li 
厅局级	ting ju ji 
微信	wei xin 
跨行业	kua hang ye 
分布	fen bu 
举借	ju jie 
推诿	tui wei 
村党委	cun dang wei 
勘察	kan cha 
打通	da tong 
高度一致	gao du yi zhi 
中华文化	zhong hua wen hua 
航道	hang dao 
铜仁市	tong ren shi 
路线	lu xian 
专栏	zhuan lan 
合理流动	he li liu dong 
电视电话会议	dian shi dian hua hui yi 
社会各界	she hui ge jie 
级别	ji bie 
治国	zhi guo 
恶意	e yi 
管网	guan wang 
西宁市	xi ning shi 
微生物	wei sheng wu 
庄村	zhuang cun 
办案	ban an 
纵深	zong shen 
统计局	tong ji ju 
工作进展	gong zuo jin zhan 
打击报复	da ji bao fu 
汇报	hui bao 
网络空间	wang luo kong jian 
联结	lian jie 
一切	yi qie 
专员	zhuan yuan 
激活	ji huo 
防御	fang yu 
彰显	zhang xian 
运动会	yun dong hui 
浓度	nong du 
郑州市	zheng zhou shi 
科技型	ke ji xing 
科研经费	ke yan jing fei 
法制办	fa zhi ban 
个体经营	ge ti jing ying 
贸促会	mao cu hui 
命运	ming yun 
公平正义	gong ping zheng yi 
市场供应	shi chang gong ying 
周年	zhou nian 
专利权	zhuan li quan 
六盘水市	liu pan shui shi 
思路	si lu 
教导员	jiao dao yuan 
锻炼	duan lian 
填海	tian hai 
正当	zheng dang 
不良资产	bu liang zi chan 
定额	ding e 
留学人员	liu xue ren yuan 
第三批	di san pi 
安全感	an quan gan 
第八	di ba 
稳定性	wen ding xing 
追求	zhui qiu 
加工业	jia gong ye 
国家经委	guo jia jing wei 
上班	shang ban 
瞄准	miao zhun 
不定期	bu ding qi 
重点项目	zhong dian xiang mu 
回族	hui zu 
调查核实	diao cha he shi 
接轨	jie gui 
抵触	di chu 
服务部	fu wu bu 
小学	xiao xue 
无症状	wu zheng zhuang 
湖州市	hu zhou shi 
航运	hang yun 
对照	dui zhao 
证券化	zheng quan hua 
多样性	duo yang xing 
声明	sheng ming 
中央社会主义学院	zhong yang she hui zhu yi xue yuan 
扩散	kuo san 
多规	duo gui 
法律援助	fa lv yuan zhu 
报上	bao shang 
家属	jia shu 
执勤	zhi qin 
延期	yan qi 
财政性	cai zheng xing 
薄弱	bo ruo 
成都	cheng du 
人事司	ren shi si 
收益分配	shou yi fen pei 
体验	ti yan 
境内外	jing nei wai 
会计制度	kuai ji zhi du 
核销	he xiao 
多个	duo ge 
及时处理	ji shi chu li 
导航	dao hang 
大同市	da tong shi 
疫病	yi bing 
称职	chen zhi 
质量标准	zhi liang biao zhun 
第四条	di si tiao 
督查组	du cha zu 
应聘	ying pin 
长制	zhang zhi 
恶劣	e lie 
血液	xue ye 
廉洁自律	lian jie zi lv 
准则	zhun ze 
资源整合	zi yuan zheng he 
交易成本	jiao yi cheng ben 
日益增长	ri yi zeng zhang 
质量检验	zhi liang jian yan 
第二十条	di er shi tiao 
科学性	ke xue xing 
拖延	tuo yan 
首长	shou zhang 
民主监督	min zhu jian du 
高技能	gao ji neng 
工作实绩	gong zuo shi ji 
歧视	qi shi 
汕头市	shan tou shi 
煤矿安全	mei kuang an quan 
理性	li xing 
第一位	di yi wei 
大陆	da lu 
条数	tiao shu 
覆盖面	fu gai mian 
遗留问题	yi liu wen ti 
保健	bao jian 
建造	jian zao 
第十七条	di shi qi tiao 
中央政府	zhong yang zheng fu 
现役军人	xian yi jun ren 
洛阳市	luo yang shi 
外国人	wai guo ren 
分开	fen kai 
系数	xi shu 
出版物	chu ban wu 
营业	ying ye 
投票	tou piao 
革委会	ge wei hui 
整改措施	zheng gai cuo shi 
上同	shang tong 
学科建设	xue ke jian she 
支线	zhi xian 
落脚点	luo jiao dian 
检查站	jian cha zhan 
纪检	ji jian 
突破口	tu po kou 
丧失	sang shi 
林地	lin di 
少先队	shao xian dui 
指挥机构	zhi hui ji gou 
带头人	dai tou ren 
合格证	he ge zheng 
纠错	jiu cuo 
网络化	wang luo hua 
银山	yin shan 
水路	shui lu 
年度预算	nian du yu suan 
量力而行	liang li er xing 
监管部	jian guan bu 
废弃	fei qi 
中华人民共和国政府	zhong hua ren min gong he guo zheng fu 
人员名单	ren yuan ming dan 
号码	hao ma 
账号	zhang hao 
群众监督	qun zhong jian du 
出生	chu sheng 
嘉兴市	jia xing shi 
气体	qi ti 
站位	zhan wei 
信用风险	xin yong feng xian 
药师	yao shi 
在职	zai zhi 
此外	ci wai 
推送	tui song 
开始	kai shi 
监狱	jian yu 
荣誉	rong yu 
监察部	jian cha bu 
满族	man zu 
资产负债	zi chan fu zhai 
一致意见	yi zhi yi jian 
紧紧围绕	jin jin wei rao 
同类	tong lei 
竞争性	jing zheng xing 
物流配送	wu liu pei song 
达标	da biao 
支行	zhi xing 
非营利性	fei ying li xing 
服装	fu zhuang 
产销	chan xiao 
科学规范	ke xue gui fan 
双重领导	shuang chong ling dao 
奋斗目标	fen dou mu biao 
鲜明	xian ming 
贫困县	pin kun xian 
投放	tou fang 
过硬	guo ying 
考核制度	kao he zhi du 
特种设备	te zhong she bei 
关怀	guan huai 
昌都	chang dou 
高技术	gao ji shu 
挑战	tiao zhan 
科技进步	ke ji jin bu 
第十八条	di shi ba tiao 
迁建	qian jian 
双边	shuang bian 
南宁市	nan ning shi 
评优	ping you 
熟悉	shu xi 
容错	rong cuo 
银川市	yin chuan shi 
爱国卫生	ai guo wei sheng 
胜利	sheng li 
食物	shi wu 
栏目	lan mu 
支配	zhi pei 
态势	tai shi 
民主测评	min zhu ce ping 
干部局	gan bu ju 
标注	biao zhu 
产业布局	chan ye bu ju 
绝对	jue dui 
犀牛	xi niu 
经贸部	jing mao bu 
中国气象局	zhong guo qi xiang ju 
重要性	zhong yao xing 
证券法	zheng quan fa 
当选	dang xuan 
渔业	yu ye 
教育引导	jiao yu yin dao 
报销	bao xiao 
订立	ding li 
经历	jing li 
矿产	kuang chan 
武器装备	wu qi zhuang bei 
具体措施	ju ti cuo shi 
佛山市	fo shan shi 
邯郸市	han dan shi 
实效性	shi xiao xing 
转运	zhuan yun 
第四项	di si xiang 
常住人口	chang zhu ren kou 
大国	da guo 
滥用	lan yong 
放在首位	fang zai shou wei 
注册证	zhu ce zheng 
病毒	bing du 
库款	ku kuan 
贯通	guan tong 
无偿	wu chang 
工程师	gong cheng shi 
风电	feng dian 
服务网络	fu wu wang luo 
传输	chuan shu 
空域	kong yu 
向上	xiang shang 
会计	kuai ji 
税法	shui fa 
秘书处	mi shu chu 
兰州市	lan zhou shi 
征用	zheng yong 
紧缺	jin que 
交通部	jiao tong bu 
摆在	bai zai 
南昌	nan chang 
门户	men hu 
公共信息	gong gong xin xi 
管委会	guan wei hui 
农场	nong chang 
拆解	chai jie 
外资银行	wai zi yin hang 
时段	shi duan 
司法人员	si fa ren yuan 
农膜	nong mo 
筑牢	zhu lao 
停业整顿	ting ye zheng dun 
执法检查	zhi fa jian cha 
中叶	zhong ye 
较为	jiao wei 
总部	zong bu 
奶业	nai ye 
大庆市	da qing shi 
村级	cun ji 
天水市	tian shui shi 
高频	gao pin 
谋取	mou qu 
新村	xin cun 
票据	piao ju 
渭南市	wei nan shi 
人口普查	ren kou pu cha 
群众路线	qun zhong lu xian 
抗疫	kang yi 
平安	ping an 
事业部	shi ye bu 
区块	qu kuai 
本次	ben ci 
未满	wei man 
生产性	sheng chan xing 
重大意义	zhong da yi yi 
放权	fang quan 
司机	si ji 
再造	zai zao 
每月	mei yue 
三反	san fan 
感知	gan zhi 
切实落实	qie shi luo shi 
清正廉洁	qing zheng lian jie 
内在	nei zai 
国家民委	guo jia min wei 
泰州市	tai zhou shi 
第十三届	di shi san jie 
专家库	zhuan jia ku 
民政厅	min zheng ting 
黄冈市	huang gang shi 
企业债券	qi ye zhai quan 
珠海市	zhu hai shi 
增减	zeng jian 
生产力	sheng chan li 
新高	xin gao 
师资	shi zi 
预防为主	yu fang wei zhu 
决胜	jue sheng 
本世纪	ben shi ji 
星期日	xing qi ri 
济南	ji nan 
公共场所	gong gong chang suo 
发扬	fa yang 
承受能力	cheng shou neng li 
经贸合作	jing mao he zuo 
知识分子	zhi shi fen zi 
知情权	zhi qing quan 
本息	ben xi 
作战	zuo zhan 
四是	si shi 
种子	zhong zi 
优势产业	you shi chan ye 
分红	fen hong 
立德	li de 
杭州	hang zhou 
在建	zai jian 
听取意见	ting qu yi jian 
保卫	bao wei 
生命安全	sheng ming an quan 
交易所	jiao yi suo 
反腐败	fan fu bai 
进项税额	jin xiang shui e 
会计核算	kuai ji he suan 
账款	zhang kuan 
合用	he yong 
常州市	chang zhou shi 
缺陷	que xian 
减量	jian liang 
精细化	jing xi hua 
三科	san ke 
宣布	xuan bu 
建设厅	jian she ting 
多数	duo shu 
多次	duo ci 
中国邮政	zhong guo you zheng 
持股	chi gu 
计生	ji sheng 
内涵	nei han 
信息网络	xin xi wang luo 
总站	zong zhan 
河村	he cun 
储备粮	chu bei liang 
密码	mi ma 
进货	jin huo 
民办	min ban 
分级管理	fen ji guan li 
发展趋势	fa zhan qu shi 
循序渐进	xun xu jian jin 
特色产业	te se chan ye 
定制	ding zhi 
小康	xiao kang 
招用	zhao yong 
上升	shang sheng 
复诊	fu zhen 
疏散	shu san 
纪要	ji yao 
骗取	pian qu 
保卫战	bao wei zhan 
物价	wu jia 
训练	xun lian 
爱国主义	ai guo zhu yi 
场馆	chang guan 
文字	wen zi 
表决权	biao jue quan 
客车	ke che 
书面形式	shu mian xing shi 
山水	shan shui 
期货	qi huo 
处于	chu yu 
膳食	shan shi 
防治法	fang zhi fa 
重特大	zhong te da 
黄石市	huang shi shi 
两区	liang qu 
应纳税额	ying na shui e 
集体领导	ji ti ling dao 
供求	gong qiu 
经营范围	jing ying fan wei 
安全事件	an quan shi jian 
驻外	zhu wai 
财政局	cai zheng ju 
星期六	xing qi liu 
口头	kou tou 
服务型	fu wu xing 
送达	song da 
复垦	fu ken 
查明	cha ming 
降本增效	jiang ben zeng xiao 
负责管理	fu ze guan li 
立改	li gai 
查找	cha zhao 
批示	pi shi 
普查人员	pu cha ren yuan 
招录	zhao lu 
视为	shi wei 
公益林	gong yi lin 
个别谈话	ge bie tan hua 
各司其职	ge si qi zhi 
不设	bu she 
黄金	huang jin 
奉献	feng xian 
天使	tian shi 
水利局	shui li ju 
群众利益	qun zhong li yi 
餐厨	can chu 
湛江	zhan jiang 
退捕	tui bu 
退市	tui shi 
公文	gong wen 
病例	bing li 
压力	ya li 
专户	zhuan hu 
三处	san chu 
纽带	niu dai 
中央党校	zhong yang dang xiao 
收购者	shou gou zhe 
林田	lin tian 
副经理	fu jing li 
地块	di kuai 
建筑物	jian zhu wu 
调拨	tiao bo 
应选	ying xuan 
航空公司	hang kong gong si 
水利厅	shui li ting 
工程技术	gong cheng ji shu 
复议	fu yi 
进出境	jin chu jing 
土地出让	tu di chu rang 
海运	hai yun 
控制线	kong zhi xian 
磋商	cuo shang 
特派员	te pai yuan 
直达	zhi da 
轨道	gui dao 
定点医院	ding dian yi yuan 
年轻干部	nian qing gan bu 
著作权	zhu zuo quan 
碳循环	tan xun huan 
基数	ji shu 
互补	hu bu 
南水北调	nan shui bei diao 
难以	nan yi 
严控	yan kong 
学历教育	xue li jiao yu 
产品认证	chan pin ren zheng 
温室	wen shi 
疑似	yi si 
跨国公司	kua guo gong si 
次数	ci shu 
首都	shou du 
辽阳市	liao yang shi 
校园	xiao yuan 
群体性	qun ti xing 
工艺	gong yi 
身体健康	shen ti jian kang 
美育	mei yu 
定居	ding ju 
百色市	bai se shi 
民政局	min zheng ju 
台州市	tai zhou shi 
绿色通道	lv se tong dao 
公司章程	gong si zhang cheng 
防涝	fang lao 
南部	nan bu 
辞退	ci tui 
坚决执行	jian jue zhi xing 
如期	ru qi 
代码	dai ma 
警察	jing cha 
销售额	xiao shou e 
分配制度	fen pei zhi du 
湖草	hu cao 
例外	li wai 
差异	cha yi 
抗震救灾	kang zhen jiu zai 
提高质量	ti gao zhi liang 
选聘	xuan pin 
调配	diao pei 
取缔	qu di 
入库	ru ku 
提取	ti qu 
之风	zhi feng 
存款	cun kuan 
债券市场	zhai quan shi chang 
基层干部	ji ceng gan bu 
不称职	bu chen zhi 
牢记	lao ji 
精心组织	jing xin zu zhi 
新品种	xin pin zhong 
一业	yi ye 
全省	quan sheng 
公信力	gong xin li 
龙头	long tou 
上位法	shang wei fa 
五中全会	wu zhong quan hui 
解救	jie jiu 
玉米	yu mi 
电器	dian qi 
各负其责	ge fu qi ze 
育秧	yu yang 
病种	bing zhong 
陆海	lu hai 
临沧市	lin cang shi 
横向	heng xiang 
模范作用	mo fan zuo yong 
见习	jian xi 
物流园区	wu liu yuan qu 
领军	ling jun 
关停	guan ting 
上网	shang wang 
福州市	fu zhou shi 
政治责任	zheng zhi ze ren 
就读	jiu du 
人事管理	ren shi guan li 
遵义市	zun yi shi 
党风	dang feng 
工作岗位	gong zuo gang wei 
评选	ping xuan 
节奏	jie zou 
外商	wai shang 
齐抓共管	qi zhua gong guan 
处以	chu yi 
首页	shou ye 
评比	ping bi 
安全检查	an quan jian cha 
航空运输	hang kong yun shu 
被选举权	bei xuan ju quan 
收费站	shou fei zhan 
保险机构	bao xian ji gou 
用能	yong neng 
省长	sheng zhang 
明显增强	ming xian zeng qiang 
明确规定	ming que gui ding 
全民所有	quan min suo you 
十堰市	shi yan shi 
租房	zu fang 
第三项	di san xiang 
总监	zong jian 
禀赋	bing fu 
交通枢纽	jiao tong shu niu 
遗址	yi zhi 
中国地震局	zhong guo di zhen ju 
第二类	di er lei 
全国代表大会	quan guo dai biao da hui 
孝感市	xiao gan shi 
贴息	tie xi 
当期	dang qi 
中方	zhong fang 
控制措施	kong zhi cuo shi 
以人为本	yi ren wei ben 
北京市公安局	bei jing shi gong an ju 
引擎	yin qing 
损毁	sun hui 
热点	re dian 
力戒	li jie 
乳制品	ru zhi pin 
集镇	ji zhen 
因公	yin gong 
苏州	su zhou 
建议书	jian yi shu 
汉中市	han zhong shi 
会商	hui shang 
焦作市	jiao zuo shi 
纺织	fang zhi 
毕节市	bi jie shi 
取得实效	qu de shi xiao 
南方	nan fang 
添加	tian jia 
意志	yi zhi 
第十二条	di shi er tiao 
验证	yan zheng 
汇交	hui jiao 
不必要	bu bi yao 
桂林市	gui lin shi 
农田灌溉	nong tian guan gai 
卫生局	wei sheng ju 
台湾同胞	tai wan tong bao 
人民政协	ren min zheng xie 
服务性	fu wu xing 
限定	xian ding 
标明	biao ming 
国家能源委员会	guo jia neng yuan wei yuan hui 
班次	ban ci 
家庭医生	jia ting yi sheng 
之前	zhi qian 
车站	che zhan 
董事局	dong shi ju 
同责	tong ze 
煤炭行业	mei tan hang ye 
理解	li jie 
本省	ben sheng 
孵化器	fu hua qi 
引资	yin zi 
托管人	tuo guan ren 
台湾地区	tai wan di qu 
超标准	chao biao zhun 
身边	shen bian 
海东	hai dong 
文章	wen zhang 
裁决	cai jue 
核心作用	he xin zuo yong 
传递	chuan di 
量化	liang hua 
核设施	he she shi 
探测	tan ce 
抗旱	kang han 
铁路运输	tie lu yun shu 
纠风	jiu feng 
辅导	fu dao 
人力	ren li 
大中小企业	da zhong xiao qi ye 
呈报	cheng bao 
长治市	zhang zhi shi 
筹办	chou ban 
半数	ban shu 
感染性	gan ran xing 
优势互补	you shi hu bu 
谎报	huang bao 
议事日程	yi shi ri cheng 
简单	jian dan 
肉品	rou pin 
实质性	shi zhi xing 
加入	jia ru 
留痕	liu hen 
财政政策	cai zheng zheng ce 
漏洞	lou dong 
专科	zhuan ke 
管理系统	guan li xi tong 
软硬件	ruan ying jian 
公积金	gong ji jin 
煤电	mei dian 
来访	lai fang 
管道	guan dao 
第三条	di san tiao 
下半年	xia ban nian 
养老金	yang lao jin 
规模经营	gui mo jing ying 
命名	ming ming 
报建	bao jian 
诚实	cheng shi 
定名	ding ming 
真正	zhen zheng 
教育部门	jiao yu bu men 
税制	shui zhi 
知情	zhi qing 
甚至	shen zhi 
权威性	quan wei xing 
独特	du te 
技术开发	ji shu kai fa 
流量	liu liang 
多点	duo dian 
政绩	zheng ji 
鉴别	jian bie 
费率	fei lv 
乳品	ru pin 
产品目录	chan pin mu lu 
火场	huo chang 
提速	ti su 
水运	shui yun 
试用期	shi yong qi 
录用	lu yong 
畜牧	xu mu 
包装材料	bao zhuang cai liao 
干净	gan jing 
运单	yun dan 
弥补	mi bu 
三中	san zhong 
昆明	kun ming 
工作站	gong zuo zhan 
环评	huan ping 
经报	jing bao 
序列	xu lie 
粮油	liang you 
春耕生产	chun geng sheng chan 
总体目标	zong ti mu biao 
评先	ping xian 
黄石	huang shi 
政治部	zheng zhi bu 
大力开展	da li kai zhan 
浙江大学	zhe jiang da xue 
逃税	tao shui 
三亚市	san ya shi 
德才兼备	de cai jian bei 
政风	zheng feng 
值班	zhi ban 
抓住	zhua zhu 
乡镇政府	xiang zhen zheng fu 
谈心	tan xin 
广电	guang dian 
华侨	hua qiao 
鄂州市	e zhou shi 
服务提供者	fu wu ti gong zhe 
警务	jing wu 
管理信息系统	guan li xin xi xi tong 
世纪	shi ji 
现职	xian zhi 
式样	shi yang 
监督机构	jian du ji gou 
吉安市	ji an shi 
下一代	xia yi dai 
装配式	zhuang pei shi 
预备党员	yu bei dang yuan 
组织路线	zu zhi lu xian 
多少	duo shao 
副镇长	fu zhen zhang 
一处	yi chu 
发给	fa gei 
幸福	xing fu 
宏观政策	hong guan zheng ce 
尚无	shang wu 
大幅提高	da fu ti gao 
不够	bu gou 
植物	zhi wu 
不宜	bu yi 
投资规模	tou zi gui mo 
征得	zheng de 
横琴	heng qin 
奖金	jiang jin 
超越	chao yue 
骨干企业	gu gan qi ye 
外出	wai chu 
桥梁	qiao liang 
离休	li xiu 
妇儿	fu er 
补缴	bu jiao 
迅速	xun su 
第三十五条	di san shi wu tiao 
代为	dai wei 
冬奥会	dong ao hui 
进出口银行	jin chu kou yin hang 
公司法	gong si fa 
急性	ji xing 
供销	gong xiao 
指导性	zhi dao xing 
架构	jia gou 
工程学院	gong cheng xue yuan 
第五条	di wu tiao 
保养	bao yang 
劳动合同	lao dong he tong 
社会性	she hui xing 
春节	chun jie 
战斗	zhan dou 
鲜活	xian huo 
浙江省人民政府	zhe jiang sheng ren min zheng fu 
实验	shi yan 
中青年	zhong qing nian 
大运河	da yun he 
印刷	yin shua 
民族团结	min zu tuan jie 
定西市	ding xi shi 
合理配置	he li pei zhi 
分阶段	fen jie duan 
法庭	fa ting 
服务大局	fu wu da ju 
通风	tong feng 
抽样调查	chou yang diao cha 
你委	ni wei 
科技股份	ke ji gu fen 
努力实现	nu li shi xian 
能耗	neng hao 
有害	you hai 
技术性	ji shu xing 
专有权	zhuan you quan 
村庄	cun zhuang 
发力	fa li 
深层次	shen ceng ci 
最后	zui hou 
以后	yi hou 
集中管理	ji zhong guan li 
高品质	gao pin zhi 
健康状况	jian kang zhuang kuang 
三明市	san ming shi 
轮换	lun huan 
改增	gai zeng 
加计	jia ji 
陇南	long nan 
药剂	yao ji 
前置	qian zhi 
区委	qu wei 
教育培养	jiao yu pei yang 
荆州	jing zhou 
副总	fu zong 
抵扣	di kou 
下沉	xia chen 
车辆通行	che liang tong xing 
第六批	di liu pi 
决策机构	jue ce ji gou 
为先	wei xian 
合伙人	he huo ren 
野生	ye sheng 
大道	da dao 
双重	shuang chong 
中药	zhong yao 
上来	shang lai 
地面	di mian 
界限	jie xian 
专家学者	zhuan jia xue zhe 
种业	zhong ye 
多发	duo fa 
一视同仁	yi shi tong ren 
用海	yong hai 
大病	da bing 
调出	diao chu 
自我批评	zi wo pi ping 
能源安全	neng yuan an quan 
文艺	wen yi 
展览	zhan lan 
高等教育	gao deng jiao yu 
环境卫生	huan jing wei sheng 
查核	cha he 
政治立场	zheng zhi li chang 
预备役	yu bei yi 
泰安市	tai an shi 
演出	yan chu 
林权	lin quan 
比照	bi zhao 
士兵	shi bing 
紧扣	jin kou 
合肥	he fei 
类似	lei si 
废释	fei shi 
抢救	qiang jiu 
一方	yi fang 
原料药	yuan liao yao 
下设	xia she 
奖励制度	jiang li zhi du 
台湾	tai wan 
组合	zu he 
室主任	shi zhu ren 
统一规划	tong yi gui hua 
摸底	mo di 
安委会	an wei hui 
检察	jian cha 
农垦	nong ken 
分布式	fen bu shi 
肺结核	fei jie he 
劳动报酬	lao dong bao chou 
消耗	xiao hao 
优化结构	you hua jie gou 
确保安全	que bao an quan 
一证	yi zheng 
接触	jie chu 
认真学习	ren zhen xue xi 
利润	li run 
现金	xian jin 
示范作用	shi fan zuo yong 
利用职权	li yong zhi quan 
微博	wei bo 
产地	chan di 
提案	ti an 
财务司	cai wu si 
总裁	zong cai 
总结经验	zong jie jing yan 
地理信息	di li xin xi 
健康成长	jian kang cheng zhang 
经理层	jing li ceng 
勇于创新	yong yu chuang xin 
买卖	mai mai 
大队长	da dui zhang 
档案管理	dang an guan li 
澳门特别行政区	ao men te bie xing zheng qu 
周边地区	zhou bian di qu 
山南	shan nan 
积累	ji lei 
物种	wu zhong 
副部级	fu bu ji 
牧业	mu ye 
安全可靠	an quan ke kao 
红利	hong li 
劳动工资	lao dong gong zi 
严格执法	yan ge zhi fa 
内河	nei he 
联合社	lian he she 
政企	zheng qi 
区位	qu wei 
失败	shi bai 
精神障碍	jing shen zhang ai 
吴忠市	wu zhong shi 
相当	xiang dang 
后勤	hou qin 
一窗	yi chuang 
论坛	lun tan 
现代科技	xian dai ke ji 
契机	qi ji 
药监局	yao jian ju 
报纸	bao zhi 
郴州市	chen zhou shi 
宏观指导	hong guan zhi dao 
审判机关	shen pan ji guan 
五大	wu da 
面向社会	mian xiang she hui 
不是	bu shi 
个人账户	ge ren zhang hu 
解放军总医院	jie fang jun zong yi yuan 
装修	zhuang xiu 
职工群众	zhi gong qun zhong 
讲话	jiang hua 
发明	fa ming 
严格管理	yan ge guan li 
工业园区	gong ye yuan qu 
自动化	zi dong hua 
消防队	xiao fang dui 
计税	ji shui 
应收	ying shou 
带领	dai ling 
第五批	di wu pi 
忠实	zhong shi 
个案	ge an 
核对	he dui 
他们	ta men 
免去	mian qu 
管理者	guan li zhe 
重整	zhong zheng 
字号	zi hao 
航天	hang tian 
抚养	fu yang 
实业	shi ye 
多证	duo zheng 
分裂	fen lie 
石家庄市	shi jia zhuang shi 
继承	ji cheng 
上海交通大学	shang hai jiao tong da xue 
西南	xi nan 
应到	ying dao 
西北	xi bei 
国有土地	guo you tu di 
进出	jin chu 
培训班	pei xun ban 
十四	shi si 
邮政局	you zheng ju 
化石	hua shi 
第七	di qi 
相符	xiang fu 
插手	cha shou 
无证无照	wu zheng wu zhao 
选票	xuan piao 
联合体	lian he ti 
指示精神	zhi shi jing shen 
机器人	ji qi ren 
总指挥部	zong zhi hui bu 
一般性	yi ban xing 
职业院校	zhi ye yuan xiao 
省部级	sheng bu ji 
编造	bian zao 
业务培训	ye wu pei xun 
各国	ge guo 
快捷	kuai jie 
深圳经济特区	shen zhen jing ji te qu 
复旦大学	fu dan da xue 
以工代赈	yi gong dai zhen 
品行	pin xing 
慈善事业	ci shan shi ye 
渔民	yu min 
储备库	chu bei ku 
增补	zeng bu 
咨询服务	zi xun fu wu 
收支平衡	shou zhi ping heng 
成功经验	cheng gong jing yan 
销项税额	xiao xiang shui e 
条件成熟	tiao jian cheng shu 
机组	ji zu 
滨海新区	bin hai xin qu 
区域合作	qu yu he zuo 
访问	fang wen 
医学观察	yi xue guan cha 
社会保险费	she hui bao xian fei 
地方病	di fang bing 
国徽	guo hui 
红十字会	hong shi zi hui 
党费	dang fei 
第三十一条	di san shi yi tiao 
住宿	zhu su 
卫生防疫	wei sheng fang yi 
拥有	yong you 
划归	hua gui 
新城	xin cheng 
可靠	ke kao 
毕业	bi ye 
换届选举	huan jie xuan ju 
出示	chu shi 
经贸	jing mao 
见面	jian mian 
倾向性	qing xiang xing 
沿海地区	yan hai di qu 
序号	xu hao 
热情	re qing 
货值	huo zhi 
关衔	guan xian 
交接	jiao jie 
可行	ke xing 
目前	mu qian 
电力公司	dian li gong si 
宏观	hong guan 
柳州市	liu zhou shi 
发行股票	fa xing gu piao 
金融市场	jin rong shi chang 
关系人	guan xi ren 
交通管理	jiao tong guan li 
科技领域	ke ji ling yu 
科学决策	ke xue jue ce 
尤其	you qi 
期末	qi mo 
村村	cun cun 
列支	lie zhi 
认同	ren tong 
理政	li zheng 
数据分析	shu ju fen xi 
十七	shi qi 
黔西南布依族苗族自治州	qian xi nan bu yi zu miao zu zi zhi zhou 
林木	lin mu 
国有产权	guo you chan quan 
投资人	tou zi ren 
检查人员	jian cha ren yuan 
派遣	pai qian 
建筑设计	jian zhu she ji 
空间布局	kong jian bu ju 
荆州市	jing zhou shi 
禁捕	jin bu 
稳岗	wen gang 
预算编制	yu suan bian zhi 
排除	pai chu 
造林	zao lin 
休息	xiu xi 
协商一致	xie shang yi zhi 
阳光	yang guang 
农业大学	nong ye da xue 
人民武装	ren min wu zhuang 
分期	fen qi 
财产保险	cai chan bao xian 
