微波	wei bo 
提供	ti gong 
降脂	jiang zhi 
产后	chan hou 
白术散	bai zhu san 
阳痿	yang wei 
脾胃	pi wei 
技术	ji shu 
饮食习惯	yin shi xi guan 
贲门	ben men 
肾囊肿	shen nang zhong 
头痛	tou tong 
吃药	chi yao 
养胃	yang wei 
鼻炎	bi yan 
暂时	zan shi 
丙肝	bing gan 
有助	you zhu 
鼻窦炎	bi dou yan 
刺激性	ci ji xing 
穿刺	chuan ci 
肌瘤	ji liu 
地瓜	di gua 
眼镜	yan jing 
月经	yue jing 
肠丸	chang wan 
肿胀	zhong zhang 
反复	fan fu 
纤维	xian wei 
鱼鳞病	yu lin bing 
拔除	ba chu 
困难	kun nan 
生活	sheng huo 
按摩	an mo 
容易	rong yi 
避免	bi mian 
针对	zhen dui 
锻炼身体	duan lian shen ti 
痔疮	zhi chuang 
破坏	po huai 
方法	fang fa 
口服	kou fu 
肛肠科	gang chang ke 
血液	xue ye 
柿子	shi zi 
达克宁	da ke ning 
预防性	yu fang xing 
用浴	yong yu 
喂奶	wei nai 
丧失	sang shi 
佩戴	pei dai 
甘利欣	gan li xin 
唇形	chun xing 
中毒	zhong du 
不能	bu neng 
您好	nin hao 
精神障碍	jing shen zhang ai 
会诊	hui zhen 
没有	mei you 
木僵	mu jiang 
糜灵栓	mi ling shuan 
均衡	jun heng 
药流	yao liu 
肿瘤	zhong liu 
消化不良	xiao hua bu liang 
形成	xing cheng 
冲剂	chong ji 
消炎	xiao yan 
南瓜	nan gua 
体积	ti ji 
眉毛	mei mao 
坐浴	zuo yu 
代谢	dai xie 
游离	you li 
孕激素	yun ji su 
嗓子疼	sang zi teng 
心脏	xin zang 
病原	bing yuan 
根本	gen ben 
体重	ti zhong 
改进	gai jin 
多普勒	duo pu lei 
病体	bing ti 
哮喘病	xiao chuan bing 
气喘	qi chuan 
尽量	jin liang 
垂体	chui ti 
白斑	bai ban 
肠乐	chang le 
拆线	chai xian 
耳聋	er long 
银屑病	yin xie bing 
宫喜宁	gong xi ning 
突起	tu qi 
声带	sheng dai 
排卵	pai luan 
皮炎	pi yan 
片子	pian zi 
凝血因子	ning xue yin zi 
药量	yao liang 
功能障碍	gong neng zhang ai 
没视诊	mei shi zhen 
黄疸	huang dan 
未育者	wei yu zhe 
坏死	huai si 
益生菌	yi sheng jun 
紫外线	zi wai xian 
中耳炎	zhong er yan 
阜外医院	fu wai yi yuan 
口服药物	kou fu yao wu 
表面活性	biao mian huo xing 
头晕	tou yun 
咨询	zi xun 
生态平衡	sheng tai ping heng 
大黄	dai huang 
检查	jian cha 
膀胱	pang guang 
用点	yong dian 
采取	cai qu 
过敏性	guo min xing 
比如	bi ru 
