白蛾	bai e 
隔音设备	ge yin she bei 
阴德	yin de 
监牢	jian lao 
楼梯	lou ti 
住民	zhu min 
利弊	li bi 
图书馆	tu shu guan 
陈老师	chen lao shi 
粉红色	fen hong se 
麻疹	ma zhen 
石头	shi tou 
英国	ying guo 
大使馆	da shi guan 
好帮手	hao bang shou 
天数	tian shu 
洛矶山	luo ji shan 
洋基队	yang ji dui 
周杰伦	zhou jie lun 
方向盘	fang xiang pan 
日月潭	ri yue tan 
继子	ji zi 
短剧	duan ju 
缺口	que kou 
飞轮海	fei lun hai 
校方	xiao fang 
足球队	zu qiu dui 
日本政府	ri ben zheng fu 
饭馆	fan guan 
说书人	shuo shu ren 
女友	nv you 
天主教	tian zhu jiao 
卧房	wo fang 
动机	dong ji 
西门町	xi men ting 
读者	du zhe 
盘子	pan zi 
传统	chuan tong 
无尾熊	wu wei xiong 
国乐团	guo le tuan 
叉路	cha lu 
主意	zhu yi 
碗筷	wan kuai 
鸡蛋	ji dan 
团体	tuan ti 
岗位	gang wei 
检察官	jian cha guan 
空格	kong ge 
成绩	cheng ji 
租费	zu fei 
小组	xiao zu 
考试成绩	kao shi cheng ji 
房价	fang jia 
负责人	fu ze ren 
菜色	cai se 
春水	chun shui 
故宫博物院	gu gong bo wu yuan 
椅子	yi zi 
机车	ji che 
越南	yue nan 
第三者	di san zhe 
演讲比赛	yan jiang bi sai 
汽车	qi che 
对象	dui xiang 
印度人	yin du ren 
电器店	dian qi dian 
果蝇	guo ying 
桌面	zhuo mian 
文具	wen ju 
民权	min quan 
国人	guo ren 
生态	sheng tai 
核能	he neng 
故事	gu shi 
高分	gao fen 
成龙	cheng long 
二郎	er lang 
鲁宾斯坦	lu bin si tan 
太鲁阁	tai lu ge 
新竹人	xin zhu ren 
龟苓膏	gui ling gao 
罗曼蒂克	luo man di ke 
讲桌	jiang zhuo 
大浪	da lang 
金文	jin wen 
巨作	ju zuo 
圈叉	quan cha 
臭味	chou wei 
爱妾	ai qie 
职场	zhi chang 
师范大学	shi fan da xue 
王大卫	wang da wei 
摄影机	she ying ji 
圣人	sheng ren 
午休	wu xiu 
业务员	ye wu yuan 
夏威夷	xia wei yi 
和服	he fu 
作弊	zuo bi 
伟人	wei ren 
公理	gong li 
生物课	sheng wu ke 
道路	dao lu 
图片	tu pian 
希腊	xi la 
光碟	guang die 
兔子	tu zi 
阮氏英	ruan shi ying 
好消息	hao xiao xi 
饮茶	yin cha 
压力	ya li 
律师	lv shi 
情景	qing jing 
小强	xiao qiang 
有机	you ji 
三鹿	san lu 
绿色	lv se 
意味	yi wei 
皮包	pi bao 
屋子	wu zi 
三角形	san jiao xing 
句型	ju xing 
前辈	qian bei 
视野	shi ye 
美味	mei wei 
星光	xing guang 
金融	jin rong 
心事	xin shi 
见面会	jian mian hui 
广告片	guang gao pian 
团圆	tuan yuan 
金城武	jin cheng wu 
班主任	ban zhu ren 
岔路	cha lu 
隔音	ge yin 
口号	kou hao 
身子	shen zi 
电梯	dian ti 
音乐教室	yin yue jiao shi 
死神	si shen 
人员	ren yuan 
情报	qing bao 
小说	xiao shuo 
淡蓝色	dan lan se 
猪脚	zhu jiao 
火烧	huo shao 
橄榄油	gan lan you 
天分	tian fen 
佛罗伦	fu luo lun 
酒店	jiu dian 
文化背景	wen hua bei jing 
睫毛	jie mao 
歌词	ge ci 
房租	fang zu 
观光事业	guan guang shi ye 
布朗	bu lang 
裙子	qun zi 
专科	zhuan ke 
祝英台	zhu ying tai 
公共场所	gong gong chang suo 
作者	zuo zhe 
时空	shi kong 
德国人	de guo ren 
新字	xin zi 
情书	qing shu 
卫生局长	wei sheng ju zhang 
动植物	dong zhi wu 
欧洲	ou zhou 
零用钱	ling yong qian 
专长	zhuan chang 
小组长	xiao zu zhang 
废话	fei hua 
野草	ye cao 
卫生局	wei sheng ju 
飞车	fei che 
人口数	ren kou shu 
非洲	fei zhou 
家务	jia wu 
娘家	niang jia 
道别	dao bie 
专业人士	zhuan ye ren shi 
儒家	ru jia 
情人节	qing ren jie 
机能	ji neng 
小孩	xiao hai 
法国电影	fa guo dian ying 
新竹	xin zhu 
先生	xian sheng 
婚姻	hun yin 
方案	fang an 
淡水河	dan shui he 
宝物	bao wu 
尔汤尼	er tang ni 
苏菲	su fei 
果汁	guo zhi 
游玩	you wan 
自卑	zi bei 
脏乱	zang luan 
谎话	huang hua 
被害者	bei hai zhe 
农村	nong cun 
咖哩鸡	ka li ji 
要素	yao su 
十九世纪	shi jiu shi ji 
手绘	shou hui 
背景	bei jing 
体型	ti xing 
肠粉	chang fen 
星巴克	xing ba ke 
新世界	xin shi jie 
橘黄色	ju huang se 
熟人	shu ren 
晴天	qing tian 
手机号码	shou ji hao ma 
踪迹	zong ji 
纺织业	fang zhi ye 
素描	su miao 
深绿色	shen lv se 
王建明	wang jian ming 
评分	ping fen 
孔子	kong zi 
清水	qing shui 
心肝宝贝	xin gan bao bei 
科技	ke ji 
长大成人	zhang da cheng ren 
散步	san bu 
四川	si chuan 
手表	shou biao 
大安区	da an qu 
笑容	xiao rong 
订单	ding dan 
王建民	wang jian min 
儿童节	er tong jie 
生产率	sheng chan lv 
纠纷	jiu fen 
民族	min zu 
剧团	ju tuan 
眼眶	yan kuang 
海伦	hai lun 
衣服	yi fu 
成本	cheng ben 
花莲	hua lian 
才学	cai xue 
趣味	qu wei 
景点	jing dian 
水准	shui zhun 
秀才	xiu cai 
台南市	tai nan shi 
电影票	dian ying piao 
齐天大圣	qi tian da sheng 
同学	tong xue 
味道	wei dao 
科学课	ke xue ke 
迷宫	mi gong 
英文书	ying wen shu 
林小美	lin xiao mei 
焦点	jiao dian 
雅虎公司	ya hu gong si 
雅加达	ya jia da 
大哥	da ge 
阅读者	yue du zhe 
物理学	wu li xue 
二十世纪	er shi shi ji 
缅甸人	mian dian ren 
身躯	shen qu 
政治经济	zheng zhi jing ji 
洛杉矶	luo shan ji 
海伦凯勒	hai lun kai lei 
蒸饭箱	zheng fan xiang 
音浪	yin lang 
昆山	kun shan 
王牌	wang pai 
波兰文	bo lan wen 
东西连	dong xi lian 
养老院	yang lao yuan 
笑靥	xiao ye 
火花	huo hua 
南德	nan de 
妇女	fu nv 
褐色	he se 
恐怖电影	kong bu dian ying 
第二世界	di er shi jie 
表哥	biao ge 
麦当劳	mai dang lao 
老师	lao shi 
皇天	huang tian 
阴影	yin ying 
小吃	xiao chi 
电视剧	dian shi ju 
内脏	nei zang 
泰顺街	tai shun jie 
段落	duan luo 
海浪	hai lang 
音乐家	yin yue jia 
周幽王	zhou you wang 
娱乐活动	yu le huo dong 
佛经	fo jing 
买菜	mai cai 
学院	xue yuan 
茶田	cha tian 
心态	xin tai 
球场	qiu chang 
电影机	dian ying ji 
高中同学	gao zhong tong xue 
扶轮社	fu lun she 
中华	zhong hua 
娃娃	wa wa 
公家	gong jia 
电话费	dian hua fei 
任务	ren wu 
飞镖	fei biao 
公路	gong lu 
聚精会神	ju jing hui shen 
股票	gu piao 
方型	fang xing 
风范	feng fan 
玩伴	wan ban 
早生贵子	zao sheng gui zi 
漫画	man hua 
黑糖	hei tang 
钻研	zuan yan 
筷子	kuai zi 
苏格拉底	su ge la di 
国乐社	guo le she 
李建国	li jian guo 
啤酒	pi jiu 
好事	hao shi 
男主	nan zhu 
工程	gong cheng 
好乐迪	hao le di 
禁药	jin yao 
住宿	zhu su 
风俗习惯	feng su xi guan 
文采	wen cai 
破洞	po dong 
景观	jing guan 
阿拉斯加	a la si jia 
瓦斯	wa si 
福特	fu te 
公立学校	gong li xue xiao 
银色	yin se 
丧气	sang qi 
热水	re shui 
陈汉典	chen han dian 
食粮	shi liang 
事俗	shi su 
恐怖分子	kong bu fen zi 
商业化	shang ye hua 
课题	ke ti 
育幼院	yu you yuan 
陈文茜	chen wen qian 
羊肉	yang rou 
地震	di zhen 
日子	ri zi 
咖啡因	ka fei yin 
电脑游戏	dian nao you xi 
黄克明	huang ke ming 
偶像	ou xiang 
化学药品	hua xue yao pin 
德拉	de la 
法国	fa guo 
文武庙	wen wu miao 
台湾歌手	tai wan ge shou 
法规	fa gui 
异味	yi wei 
国际贸易	guo ji mao yi 
佛堂	fo tang 
缅甸	mian dian 
本质	ben zhi 
菜市场	cai shi chang 
历练	li lian 
范逸臣	fan yi chen 
爱迪生	ai di sheng 
牙齿	ya chi 
自行车	zi xing che 
台大	tai da 
画面	hua mian 
电影院	dian ying yuan 
日记	ri ji 
苹果派	ping guo pai 
难事	nan shi 
大明山	da ming shan 
痕迹	hen ji 
粉笔	fen bi 
地址	di zhi 
马偕医院	ma xie yi yuan 
电风扇	dian feng shan 
青年人	qing nian ren 
日常用品	ri chang yong pin 
中国政府	zhong guo zheng fu 
画格	hua ge 
课外活动	ke wai huo dong 
丑小鸭	chou xiao ya 
委员	wei yuan 
辣酱	la jiang 
餐食	can shi 
室内空间	shi nei kong jian 
友情	you qing 
北京	bei jing 
雾水	wu shui 
民主	min zhu 
碎石	sui shi 
战争时代	zhan zheng shi dai 
经济学	jing ji xue 
房东	fang dong 
棒球场	bang qiu chang 
弟妹	di mei 
张爱文	zhang ai wen 
挫折感	cuo zhe gan 
地球村	di qiu cun 
鹦鹉	ying wu 
花儿	hua er 
教学材料	jiao xue cai liao 
合租	he zu 
小猪	xiao zhu 
字典	zi dian 
北京路	bei jing lu 
道具	dao ju 
村长	cun zhang 
重庆	chong qing 
角色	jue se 
画画	hua hua 
暴力	bao li 
能源	neng yuan 
卧室	wo shi 
芝麻小事	zhi ma xiao shi 
支柱	zhi zhu 
杂物	za wu 
将军	jiang jun 
影院	ying yuan 
短裤	duan ku 
高粱酒	gao liang jiu 
文章	wen zhang 
全垒打	quan lei da 
暮阳	mu yang 
离谱	li pu 
沈复	shen fu 
太洋平岛	tai yang ping dao 
缘分	yuan fen 
顽童	wan tong 
伴娘	ban niang 
白雪公主	bai xue gong zhu 
经文	jing wen 
硬碟	ying die 
车祸	che huo 
社会主义者	she hui zhu yi zhe 
北美洲	bei mei zhou 
台语	tai yu 
山谷	shan gu 
登山	deng shan 
猪肠	zhu chang 
括号	kuo hao 
课本	ke ben 
郊游	jiao you 
大唐	da tang 
菜单	cai dan 
飞机场	fei ji chang 
泰文	tai wen 
和平东路	he ping dong lu 
台东	tai dong 
铁柜	tie gui 
研究成果	yan jiu cheng guo 
阿姆斯特丹	a mu si te dan 
帐单	zhang dan 
李大年	li da nian 
义气	yi qi 
仆人	pu ren 
白日梦	bai ri meng 
王家卫	wang jia wei 
发音	fa yin 
排气	pai qi 
图腾	tu teng 
人缘	ren yuan 
水质	shui zhi 
新奇	xin qi 
心神	xin shen 
歌星	ge xing 
作家	zuo jia 
晚风	wan feng 
春卷	chun juan 
白饭	bai fan 
瑞丰	rui feng 
美女	mei nv 
形态	xing tai 
京都	jing du 
国际	guo ji 
史书	shi shu 
歧路	qi lu 
老人	lao ren 
物品	wu pin 
抽屉	chou ti 
废弃物	fei qi wu 
前科	qian ke 
孙悟空	sun wu kong 
池鱼之殃	chi yu zhi yang 
热忱	re chen 
事物	shi wu 
加油站	jia you zhan 
京剧	jing ju 
国防部	guo fang bu 
网站	wang zhan 
田径队	tian jing dui 
泰丰	tai feng 
勇气	yong qi 
中点	zhong dian 
酒馆	jiu guan 
爱人	ai ren 
肌肉	ji rou 
野餐	ye can 
前线	qian xian 
木头	mu tou 
博物馆	bo wu guan 
天涯海角	tian ya hai jiao 
泡菜	pao cai 
总公司	zong gong si 
风水	feng shui 
金库	jin ku 
使用者	shi yong zhe 
鱼香茄子	yu xiang qie zi 
旅行团	lv xing tuan 
卫生习惯	wei sheng xi guan 
比率	bi lv 
店员	dian yuan 
演员	yan yuan 
海洋	hai yang 
鱼骨	yu gu 
大海	da hai 
十七世纪	shi qi shi ji 
软糖	ruan tang 
萨克	sa ke 
食料	shi liao 
金额	jin e 
可能性	ke neng xing 
样子	yang zi 
亲子	qin zi 
生活圈	sheng huo quan 
猫熊	mao xiong 
线条	xian tiao 
艺术家	yi shu jia 
加拿大	jia na da 
人生	ren sheng 
全家	quan jia 
大伙	da huo 
夹子	jia zi 
胡适	hu shi 
跆拳道	tai quan dao 
灯塔	deng ta 
阿里山	a li shan 
保证书	bao zheng shu 
酥油茶	su you cha 
阿宏	a hong 
高雄市	gao xiong shi 
社团	she tuan 
内湖	nei hu 
性命	xing ming 
爱心	ai xin 
普洱茶	pu er cha 
顶楼	ding lou 
蜘蛛丝	zhi zhu si 
史达林	shi da lin 
宾士	bin shi 
中山	zhong shan 
业绩	ye ji 
弟弟	di di 
婵娟	chan juan 
烤牛肉	kao niu rou 
讲台	jiang tai 
罗浮宫	luo fu gong 
交谊厅	jiao yi ting 
哲学	zhe xue 
风俗	feng su 
瓶子	ping zi 
中文系	zhong wen xi 
余暇	yu xia 
头脑	tou nao 
结晶	jie jing 
人数	ren shu 
南门	nan men 
缘故	yuan gu 
苦心	ku xin 
葡萄	pu tao 
无袖	wu xiu 
人间	ren jian 
金融业	jin rong ye 
湖人队	hu ren dui 
统计图	tong ji tu 
臭气	chou qi 
课业	ke ye 
一流	yi liu 
公司	gong si 
被窝	bei wo 
身影	shen ying 
银白色	yin bai se 
王力宏	wang li hong 
波士顿	bo shi dun 
坏人	huai ren 
省略	sheng lve 
每学期	mei xue qi 
故宫	gu gong 
特征	te zheng 
马路	ma lu 
足球比赛	zu qiu bi sai 
作法	zuo fa 
油价	you jia 
厕所	ce suo 
留学生	liu xue sheng 
钱包	qian bao 
失物	shi wu 
西藏	xi zang 
女士	nv shi 
亏心事	kui xin shi 
汗水	han shui 
旋律	xuan lv 
新台币	xin tai bi 
论语	lun yu 
时钟	shi zhong 
群体	qun ti 
学历	xue li 
冷机	leng ji 
天王	tian wang 
韩剧	han ju 
收据	shou ju 
亲属	qin shu 
良方	liang fang 
汉堡包	han pu bao 
太平洋	tai ping yang 
物价	wu jia 
风流	feng liu 
摩天轮	mo tian lun 
捷运	jie yun 
控球	kong qiu 
支票	zhi piao 
龙山寺	long shan si 
印尼	yin ni 
丈夫	zhang fu 
货场	huo chang 
网球	wang qiu 
过渡期	guo du qi 
赤壁	chi bi 
棒球队	bang qiu dui 
操场	cao chang 
成份	cheng fen 
芬兰	fen lan 
幽灵	you ling 
服务生	fu wu sheng 
饮食	yin shi 
柴山	chai shan 
犯罪者	fan zui zhe 
敬业精神	jing ye jing shen 
成就	cheng jiu 
民众	min zhong 
词学	ci xue 
自闭症	zi bi zheng 
美术馆	mei shu guan 
玫瑰花	mei gui hua 
咖啡店	ka fei dian 
情感	qing gan 
方位	fang wei 
班机	ban ji 
星空	xing kong 
杨丞琳	yang cheng lin 
文武	wen wu 
杰作	jie zuo 
车门	che men 
篮球比赛	lan qiu bi sai 
肉丝	rou si 
伊斯坦堡	yi si tan bao 
优点	you dian 
上野	shang ye 
埃及	ai ji 
通知单	tong zhi dan 
蝴蝶	hu die 
韩国政府	han guo zheng fu 
弟子	di zi 
刘墉	liu yong 
心意	xin yi 
虫子	chong zi 
高雄	gao xiong 
用具	yong ju 
新鲜感	xin xian gan 
五官	wu guan 
李先生	li xian sheng 
毒品	du pin 
水果	shui guo 
巴马	ba ma 
水手	shui shou 
水饺	shui jiao 
胖女人	pang nv ren 
环境污染	huan jing wu ran 
水果店	shui guo dian 
奇才	qi cai 
父母	fu mu 
机器人	ji qi ren 
莫札特	mo zha te 
蒙古	meng gu 
上班族	shang ban zu 
林辣美	lin la mei 
金融风暴	jin rong feng bao 
教法	jiao fa 
人力资源	ren li zi yuan 
语法	yu fa 
泸上	lu shang 
波兰	bo lan 
安卡拉	an ka la 
异事	yi shi 
陈诗婷	chen shi ting 
舞台剧	wu tai ju 
期末考试	qi mo kao shi 
李平	li ping 
耳环	er huan 
血气方刚	xue qi fang gang 
市政府	shi zheng fu 
时尚	shi shang 
王大明	wang da ming 
士林	shi lin 
伦敦	lun dun 
军粮	jun liang 
音乐会	yin yue hui 
王奶奶	wang nai nai 
乡村	xiang cun 
专家	zhuan jia 
名字	ming zi 
花生	hua sheng 
才艺	cai yi 
歪路	wai lu 
房车	fang che 
客运	ke yun 
缝隙	feng xi 
芝麻酱	zhi ma jiang 
评论	ping lun 
步地	bu di 
纸屑	zhi xie 
老年人	lao nian ren 
贵族	gui zu 
板桥市	ban qiao shi 
祭祖	ji zu 
水彩	shui cai 
水沟	shui gou 
天份	tian fen 
辛勒	xin lei 
功德	gong de 
画图	hua tu 
罗马	luo ma 
单程票	dan cheng piao 
旅客	lv ke 
市区	shi qu 
男子汉	nan zi han 
癌症	ai zheng 
分校	fen xiao 
榜样	bang yang 
观光	guan guang 
客服	ke fu 
奖品	jiang pin 
内华达	nei hua da 
邮票	you piao 
乔丹	qiao dan 
作息时间	zuo xi shi jian 
午餐时间	wu can shi jian 
心理学	xin li xue 
容量	rong liang 
西装	xi zhuang 
老人家	lao ren jia 
婚礼	hun li 
仁者	ren zhe 
白花	bai hua 
金融危机	jin rong wei ji 
注意事项	zhu yi shi xiang 
家族	jia zu 
制度	zhi du 
华沙	hua sha 
旗子	qi zi 
哭声	ku sheng 
坏蛋	huai dan 
谍对谍	die dui die 
财务	cai wu 
车尔	che er 
林怀民	lin huai min 
资产	zi chan 
