各省	ge sheng 
代码	dai ma 
养生	yang sheng 
浙江	zhe jiang 
交易会	jiao yi hui 
消除隐患	xiao chu yin huan 
留置	liu zhi 
用餐	yong can 
和平区	he ping qu 
企业财务	qi ye cai wu 
资源优势	zi yuan you shi 
减免	jian mian 
城乡	cheng xiang 
畜牧业	xu mu ye 
隐匿	yin ni 
良性	liang xing 
先行	xian xing 
深海	shen hai 
信教	xin jiao 
苯基	ben ji 
档案管理	dang an guan li 
台湾地区	tai wan di qu 
自理	zi li 
捏造事实	nie zao shi shi 
淅川县	xi chuan xian 
加入	jia ru 
脱贫攻坚战	tuo pin gong jian zhan 
私募	si mu 
工作岗位	gong zuo gang wei 
蚌埠市	beng bu shi 
低硫	di liu 
疏勒县	shu le xian 
服役	fu yi 
清查	qing cha 
到期	dao qi 
此前	ci qian 
幸福	xing fu 
私利	si li 
不断创新	bu duan chuang xin 
拟定	ni ding 
驱动	qu dong 
附加费	fu jia fei 
承担责任	cheng dan ze ren 
巨大	ju da 
人力资源	ren li zi yuan 
推荐性	tui jian xing 
得到	de dao 
总医院	zong yi yuan 
总编室	zong bian shi 
法律保护	fa lv bao hu 
女子监狱	nv zi jian yu 
城子	cheng zi 
查阅	cha yue 
农村	nong cun 
审计署	shen ji shu 
明确规定	ming que gui ding 
少于	shao yu 
尊重人才	zun zhong ren cai 
海域	hai yu 
关村	guan cun 
条件成熟	tiao jian cheng shu 
领导组	ling dao zu 
村庄	cun zhuang 
转递	zhuan di 
普查员	pu cha yuan 
电网	dian wang 
编码	bian ma 
种业	zhong ye 
管理站	guan li zhan 
食品质量	shi pin zhi liang 
航线	hang xian 
出口商品	chu kou shang pin 
公告	gong gao 
规划司	gui hua si 
毒品	du pin 
一九八五年	yi jiu ba wu nian 
用途	yong tu 
职务犯罪	zhi wu fan zui 
政绩观	zheng ji guan 
体育锻炼	ti yu duan lian 
能源管理	neng yuan guan li 
商会	shang hui 
理顺	li shun 
传输	chuan shu 
东营市	dong ying shi 
首套	shou tao 
培训班	pei xun ban 
严密	yan mi 
带头人	dai tou ren 
标准配备	biao zhun pei bei 
镇政府	zhen zheng fu 
庆祝	qing zhu 
面广	mian guang 
委派	wei pai 
牧场	mu chang 
山西	shan xi 
解放军	jie fang jun 
逐步形成	zhu bu xing cheng 
宜昌	yi chang 
银川市	yin chuan shi 
勘探	kan tan 
智能化	zhi neng hua 
沿海地区	yan hai di qu 
垃圾	la ji 
专利权	zhuan li quan 
歇业	xie ye 
个体	ge ti 
康华	kang hua 
守法	shou fa 
普通高中	pu tong gao zhong 
科学合理	ke xue he li 
明珠	ming zhu 
起来	qi lai 
港澳台地区	gang ao tai di qu 
石刻	shi ke 
稳定	wen ding 
提问	ti wen 
错时	cuo shi 
附后	fu hou 
离任	li ren 
改增	gai zeng 
群众体育	qun zhong ti yu 
遗属	yi shu 
三线建设	san xian jian she 
第四十条	di si shi tiao 
互通	hu tong 
工作评议	gong zuo ping yi 
期盼	qi pan 
丹东市	dan dong shi 
战区	zhan qu 
领先水平	ling xian shui ping 
牺牲	xi sheng 
代号	dai hao 
赠送	zeng song 
梯次	ti ci 
一支	yi zhi 
群众团体	qun zhong tuan ti 
洗钱	xi qian 
照顾	zhao gu 
新风	xin feng 
贡献	gong xian 
承办	cheng ban 
标准制	biao zhun zhi 
关司局	guan si ju 
通山县	tong shan xian 
动议	dong yi 
免责	mian ze 
购买方	gou mai fang 
下级	xia ji 
兜底	dou di 
群众路线	qun zhong lu xian 
税收政策	shui shou zheng ce 
不能变更	bu neng bian geng 
巨人	ju ren 
制约	zhi yue 
素养	su yang 
建设性	jian she xing 
反对党	fan dui dang 
水下	shui xia 
虹口区	hong kou qu 
采取相应	cai qu xiang ying 
工业局	gong ye ju 
成分	cheng fen 
字词	zi ci 
构建	gou jian 
英山县	ying shan xian 
银担	yin dan 
接待	jie dai 
集成电路布图	ji cheng dian lu bu tu 
审慎	shen shen 
吉水县	ji shui xian 
若干意见	ruo gan yi jian 
妇儿	fu er 
种子	zhong zi 
孕育	yun yu 
假期	jia qi 
援派	yuan pai 
消防员	xiao fang yuan 
再造	zai zao 
收受	shou shou 
气象部门	qi xiang bu men 
邮电部	you dian bu 
甘泉县	gan quan xian 
展销会	zhan xiao hui 
银行卡	yin hang ka 
乌拉特中旗	wu la te zhong qi 
粮食局	liang shi ju 
失实	shi shi 
促进	cu jin 
能耗	neng hao 
安监局	an jian ju 
温岭市	wen ling shi 
登录	deng lu 
面向市场	mian xiang shi chang 
缩减	suo jian 
内外资	nei wai zi 
转包	zhuan bao 
着眼于	zhuo yan yu 
一票否决权	yi piao fou jue quan 
企业化	qi ye hua 
律师协会	lv shi xie hui 
人身安全	ren shen an quan 
所得	suo de 
国家自然科学奖	guo jia zi ran ke xue jiang 
高耗能	gao hao neng 
送审稿	song shen gao 
贸易	mao yi 
配套	pei tao 
观念	guan nian 
产权交易	chan quan jiao yi 
补偿费	bu chang fei 
航天	hang tian 
北京协和医院	bei jing xie he yi yuan 
体卫	ti wei 
农贸市场	nong mao shi chang 
住宅小区	zhu zhai xiao qu 
加工业	jia gong ye 
性能	xing neng 
救灾物资	jiu zai wu zi 
气候变化	qi hou bian hua 
专业人才	zhuan ye ren cai 
计划指标	ji hua zhi biao 
可查性	ke cha xing 
党规	dang gui 
交接	jiao jie 
乘客	cheng ke 
效能	xiao neng 
舆论	yu lun 
时期	shi qi 
所在城市	suo zai cheng shi 
简章	jian zhang 
党外人士	dang wai ren shi 
支小	zhi xiao 
食物	shi wu 
司法机关	si fa ji guan 
临翔区	lin xiang qu 
转让	zhuan rang 
河长制湖长制	he zhang zhi hu zhang zhi 
施甸县	shi dian xian 
国家医疗保障局	guo jia yi liao bao zhang ju 
功能区	gong neng qu 
障碍	zhang ai 
团组织	tuan zu zhi 
任教	ren jiao 
督促	du cu 
垃圾分类	la ji fen lei 
效果	xiao guo 
信函	xin han 
镇青	zhen qing 
党和国家	dang he guo jia 
仓单	cang dan 
第二十二条	di er shi er tiao 
进出口	jin chu kou 
拥军优属	yong jun you shu 
搜索	sou suo 
理解	li jie 
登记手续	deng ji shou xu 
中国兵器工业集团	zhong guo bing qi gong ye ji tuan 
举借	ju jie 
课堂教学	ke tang jiao xue 
生育	sheng yu 
指导处	zhi dao chu 
一起	yi qi 
同仁	tong ren 
监督权	jian du quan 
总经理	zong jing li 
保函	bao han 
间或	jian huo 
醒目	xing mu 
贵阳	gui yang 
审计委员会	shen ji wei yuan hui 
金融风险	jin rong feng xian 
高素质	gao su zhi 
驻京	zhu jing 
大兴区	da xing qu 
体罚	ti fa 
密码	mi ma 
迁移	qian yi 
意见分歧	yi jian fen qi 
同志	tong zhi 
国际交流	guo ji jiao liu 
粮食安全	liang shi an quan 
执规	zhi gui 
脱离实际	tuo li shi ji 
行政学院	xing zheng xue yuan 
致贫	zhi pin 
生产率	sheng chan lv 
一线	yi xian 
外币	wai bi 
就餐	jiu can 
连队	lian dui 
署长	shu zhang 
枯竭	ku jie 
问责	wen ze 
合作医疗	he zuo yi liao 
青铜峡市	qing tong xia shi 
泛珠三角	fan zhu san jiao 
节约型	jie yue xing 
制造业	zhi zao ye 
生存	sheng cun 
呼和浩特市	hu he hao te shi 
副所长	fu suo zhang 
通信	tong xin 
法定条件	fa ding tiao jian 
共识	gong shi 
十一	shi yi 
积极	ji ji 
支线	zhi xian 
区域性	qu yu xing 
测评	ce ping 
吉林	ji lin 
出入口	chu ru kou 
第四十一条	di si shi yi tiao 
部及	bu ji 
有为	you wei 
增效益	zeng xiao yi 
温室	wen shi 
买卖	mai mai 
职业培训	zhi ye pei xun 
援藏	yuan cang 
中外合作	zhong wai he zuo 
联结	lian jie 
显著	xian zhu 
聘用	pin yong 
规制	gui zhi 
退还	tui huan 
工作者	gong zuo zhe 
充分体现	chong fen ti xian 
保定市	bao ding shi 
序号	xu hao 
内涵	nei han 
无废	wu fei 
武汉大学	wu han da xue 
种粮	zhong liang 
课时	ke shi 
体育总局	ti yu zong ju 
空域	kong yu 
宣介	xuan jie 
梧州市	wu zhou shi 
滨海	bin hai 
最大	zui da 
携带	xie dai 
规范性	gui fan xing 
国际航运	guo ji hang yun 
地震	di zhen 
时间	shi jian 
盘江	pan jiang 
门槛	men kan 
汕头	shan tou 
科学技术部	ke xue ji shu bu 
下级机关	xia ji ji guan 
巨鹿县	ju lu xian 
办公会议	ban gong hui yi 
径送	jing song 
医生	yi sheng 
轮作	lun zuo 
五个	wu ge 
十三五	shi san wu 
内蒙古	nei meng gu 
全面实施	quan mian shi shi 
国家开发银行	guo jia kai fa yin hang 
不适宜	bu shi yi 
阶梯	jie ti 
转为	zhuan wei 
之间	zhi jian 
办案	ban an 
国家民委	guo jia min wei 
工业部	gong ye bu 
探测	tan ce 
学员	xue yuan 
标准版	biao zhun ban 
公积金	gong ji jin 
新形势下	xin xing shi xia 
蚌埠	beng bu 
非法收入	fei fa shou ru 
走出去	zou chu qu 
涉诉	she su 
进校园	jin xiao yuan 
团体	tuan ti 
盐池县	yan chi xian 
检查督促	jian cha du cu 
引起	yin qi 
口镇	kou zhen 
旅游	lv you 
个人信用	ge ren xin yong 
车船	che chuan 
除险	chu xian 
事业性收费	shi ye xing shou fei 
酉阳土家族苗族自治县	you yang tu jia zu miao zu zi zhi xian 
报装	bao zhuang 
改变	gai bian 
中管	zhong guan 
医患	yi huan 
华能	hua neng 
育儿	yu er 
中央编办	zhong yang bian ban 
饮食	yin shi 
优生优育	you sheng you yu 
放管服	fang guan fu 
专利	zhuan li 
街区	jie qu 
通报情况	tong bao qing kuang 
第十九条	di shi jiu tiao 
东北	dong bei 
中青年	zhong qing nian 
收储	shou chu 
城东	cheng dong 
凭祥	ping xiang 
地址	di zhi 
社会效益	she hui xiao yi 
乙基	yi ji 
忠诚	zhong cheng 
外汇局	wai hui ju 
人才流动	ren cai liu dong 
十大	shi da 
自我管理	zi wo guan li 
火炬	huo ju 
私自	si zi 
万众	wan zhong 
防治规划	fang zhi gui hua 
面积	mian ji 
华北	hua bei 
总站	zong zhan 
政治性	zheng zhi xing 
襄阳	xiang yang 
顺平县	shun ping xian 
北京中医药大学	bei jing zhong yi yao da xue 
多规	duo gui 
中国工程院	zhong guo gong cheng yuan 
先行区	xian xing qu 
强制	qiang zhi 
主体作用	zhu ti zuo yong 
移民局	yi min ju 
散布	san bu 
北海市	bei hai shi 
贿选	hui xuan 
隔震缝	ge zhen feng 
表彰	biao zhang 
医疗保险	yi liao bao xian 
制片	zhi pian 
授信	shou xin 
纤维	xian wei 
世界园艺博览会	shi jie yuan yi bo lan hui 
自行	zi xing 
节约用水	jie yue yong shui 
选用	xuan yong 
迟报	chi bao 
生物质	sheng wu zhi 
泰安	tai an 
只有	zhi you 
更广	geng guang 
岗位	gang wei 
扩张	kuo zhang 
佛山	fo shan 
西藏自治区人民政府	xi zang zi zhi qu ren min zheng fu 
核电	he dian 
命运	ming yun 
最多	zui duo 
自觉遵守	zi jue zun shou 
正确对待	zheng que dui dai 
可及	ke ji 
农业部	nong ye bu 
第四十五	di si shi wu 
收缴	shou jiao 
机关党	ji guan dang 
无证	wu zheng 
提档	ti dang 
猪瘟	zhu wen 
高级人民法院	gao ji ren min fa yuan 
筹劳	chou lao 
两项	liang xiang 
记于	ji yu 
中国民用航空总局	zhong guo min yong hang kong zong ju 
南光	nan guang 
篇章	pian zhang 
细胞	xi bao 
太仆寺旗	tai pu si qi 
提级	ti ji 
双控	shuang kong 
流调	liu diao 
统筹安排	tong chou an pai 
参数	can shu 
中国社会科学院	zhong guo she hui ke xue yuan 
进行	jin xing 
回头	hui tou 
副省长	fu sheng zhang 
手册	shou ce 
饮用水	yin yong shui 
盖章	gai zhang 
严格执行	yan ge zhi xing 
一款	yi kuan 
莎车县	sha che xian 
签名	qian ming 
外科	wai ke 
分工合作	fen gong he zuo 
经纪	jing ji 
权能	quan neng 
原创	yuan chuang 
嵌入	qian ru 
集体所有制	ji ti suo you zhi 
新空间	xin kong jian 
数量	shu liang 
体系	ti xi 
电视节目	dian shi jie mu 
不合理	bu he li 
骆驼	luo tuo 
贯彻执行	guan che zhi xing 
市场前景	shi chang qian jing 
养路费	yang lu fei 
具体	ju ti 
评选	ping xuan 
西藏自治区	xi zang zi zhi qu 
访谈	fang tan 
团结奋斗	tuan jie fen dou 
管办	guan ban 
突出贡献	tu chu gong xian 
党同	dang tong 
新开设	xin kai she 
因果关系	yin guo guan xi 
旗帜鲜明	qi zhi xian ming 
排头兵	pai tou bing 
人财物	ren cai wu 
社工	she gong 
有法必依	you fa bi yi 
综合体	zong he ti 
遵照	zun zhao 
互联	hu lian 
澄清	cheng qing 
行政诉讼	xing zheng su song 
工业园区	gong ye yuan qu 
落实	luo shi 
现将	xian jiang 
工作指南	gong zuo zhi nan 
花卉	hua hui 
非税	fei shui 
一公里	yi gong li 
民政部	min zheng bu 
一项	yi xiang 
专题研究	zhuan ti yan jiu 
广西壮族自治区	guang xi zhuang zu zi zhi qu 
第二十条	di er shi tiao 
劳动力	lao dong li 
定位	ding wei 
立卡	li ka 
承德县	cheng de xian 
临床试验	lin chuang shi yan 
重大项目	zhong da xiang mu 
防线	fang xian 
转续	zhuan xu 
代表人士	dai biao ren shi 
知晓	zhi xiao 
内销	nei xiao 
秘密	mi mi 
率先垂范	shuai xian chui fan 
共青团	gong qing tuan 
减震	jian zhen 
保山市	bao shan shi 
农产品	nong chan pin 
农牧区	nong mu qu 
防制	fang zhi 
东城区	dong cheng qu 
挪作他用	nuo zuo ta yong 
表率作用	biao shuai zuo yong 
同业	tong ye 
铁路	tie lu 
弘扬	hong yang 
发票	fa piao 
医务部	yi wu bu 
徐汇区	xu hui qu 
企业名单	qi ye ming dan 
实现	shi xian 
礼品	li pin 
病区	bing qu 
维吾尔族	wei wu er zu 
数据处理	shu ju chu li 
淮北市	huai bei shi 
更好	geng hao 
发明	fa ming 
项目名称	xiang mu ming cheng 
工资	gong zi 
布设	bu she 
移民	yi min 
航道	hang dao 
副大队长	fu da dui zhang 
省会	sheng hui 
金融业	jin rong ye 
厉行节约	li xing jie yue 
林业	lin ye 
停止使用	ting zhi shi yong 
节能型	jie neng xing 
汤丹镇	tang dan zhen 
酒店	jiu dian 
真实情况	zhen shi qing kuang 
市中心	shi zhong xin 
红河哈尼族彝族自治州	hong he ha ni zu yi zu zi zhi zhou 
议程	yi cheng 
教学改革	jiao xue gai ge 
实用	shi yong 
船艇	chuan ting 
货款	huo kuan 
总费用	zong fei yong 
林果业	lin guo ye 
第五	di wu 
休息	xiu xi 
接触	jie chu 
评查	ping cha 
城市人民政府	cheng shi ren min zheng fu 
电视电话会议	dian shi dian hua hui yi 
承担	cheng dan 
验收	yan shou 
推开	tui kai 
口罩	kou zhao 
内分泌	nei fen mi 
党风廉政	dang feng lian zheng 
中央企业	zhong yang qi ye 
防止	fang zhi 
补充规定	bu chong gui ding 
分类目录	fen lei mu lu 
北京大学第三医院	bei jing da xue di san yi yuan 
代偿	dai chang 
会计	kuai ji 
国家能源局	guo jia neng yuan ju 
消极	xiao ji 
涉农资金	she nong zi jin 
共同富裕	gong tong fu yu 
桥梁	qiao liang 
流通领域	liu tong ling yu 
验证	yan zheng 
闭环	bi huan 
餐桌	can zhuo 
严格遵守	yan ge zun shou 
生活富裕	sheng huo fu yu 
违法	wei fa 
受损	shou sun 
集中处理	ji zhong chu li 
油田	you tian 
申请材料	shen qing cai liao 
上市	shang shi 
下移	xia yi 
符合条件	fu he tiao jian 
证明文件	zheng ming wen jian 
赞助	zan zhu 
回收	hui shou 
国家铁路局	guo jia tie lu ju 
遴选	lin xuan 
远期	yuan qi 
海底	hai di 
规模经营	gui mo jing ying 
医学部	yi xue bu 
太阳能	tai yang neng 
具备	ju bei 
广告	guang gao 
病故	bing gu 
派驻	pai zhu 
联络处	lian luo chu 
防治所	fang zhi suo 
打击报复	da ji bao fu 
区委书记	qu wei shu ji 
一枚	yi mei 
防范措施	fang fan cuo shi 
构筑	gou zhu 
东宁	dong ning 
三反	san fan 
副厅级	fu ting ji 
现代	xian dai 
南平市	nan ping shi 
仙林	xian lin 
监测中心	jian ce zhong xin 
蕴含	yun han 
日起	ri qi 
征管	zheng guan 
湖州市	hu zhou shi 
写出	xie chu 
唐山市	tang shan shi 
抢救	qiang jiu 
警戒	jing jie 
集体领导	ji ti ling dao 
需经	xu jing 
优良作风	you liang zuo feng 
当场	dang chang 
中华民族	zhong hua min zu 
十届	shi jie 
一人	yi ren 
摆在首位	bai zai shou wei 
模型	mo xing 
手续费	shou xu fei 
产地	chan di 
管用	guan yong 
团队	tuan dui 
门户网站	men hu wang zhan 
开展批评	kai zhan pi ping 
摩擦	mo ca 
创业	chuang ye 
保证金	bao zheng jin 
中职	zhong zhi 
歧视性	qi shi xing 
产权保护	chan quan bao hu 
治愈	zhi yu 
临沂市	lin yi shi 
教研	jiao yan 
有效	you xiao 
资助	zi zhu 
个性	ge xing 
诬告陷害	wu gao xian hai 
湾区	wan qu 
推出	tui chu 
版本	ban ben 
平罗县	ping luo xian 
有关部门	you guan bu men 
编办	bian ban 
实惠	shi hui 
新城区	xin cheng qu 
破格	po ge 
沟通	gou tong 
签约	qian yue 
经贸合作	jing mao he zuo 
油品	you pin 
东川区	dong chuan qu 
保税	bao shui 
通行费	tong xing fei 
收付	shou fu 
加氢	jia qing 
东兴市	dong xing shi 
工商总局	gong shang zong ju 
海口市	hai kou shi 
南方电网	nan fang dian wang 
强度	qiang du 
大宗	da zong 
民警	min jing 
鄱阳县	po yang xian 
禀赋	bing fu 
出库	chu ku 
妥善	tuo shan 
黔西南布依族苗族自治州	qian xi nan bu yi zu miao zu zi zhi zhou 
齐抓共管	qi zhua gong guan 
就近	jiu jin 
中央国家机关	zhong yang guo jia ji guan 
开辟	kai pi 
供地	gong di 
免于	mian yu 
商业贷款	shang ye dai kuan 
社会教育	she hui jiao yu 
太原市	tai yuan shi 
组委会	zu wei hui 
开发部	kai fa bu 
办法	ban fa 
专门机构	zhuan men ji gou 
合伙人	he huo ren 
支援	zhi yuan 
主题	zhu ti 
镇党委	zhen dang wei 
作出	zuo chu 
组织路线	zu zhi lu xian 
成套	cheng tao 
国土	guo tu 
发明奖	fa ming jiang 
管线	guan xian 
赣县	gan xian 
应用软件	ying yong ruan jian 
品质	pin zhi 
山东	shan dong 
进口设备	jin kou she bei 
村村	cun cun 
身心健康	shen xin jian kang 
公共建筑	gong gong jian zhu 
制剂	zhi ji 
暂行	zan xing 
随迁	sui qian 
崇阳县	chong yang xian 
雷锋	lei feng 
绿色通道	lv se tong dao 
省级人民政府	sheng ji ren min zheng fu
公信力	gong xin li 
外向型	wai xiang xing 
汽车	qi che 
林区	lin qu 
集中式	ji zhong shi 
神农架林区	shen nong jia lin qu 
涉旅	she lv 
军事训练	jun shi xun lian 
生猪	sheng zhu 
保障制度	bao zhang zhi du 
办学条件	ban xue tiao jian 
连通	lian tong 
英德市	ying de shi 
独立行使	du li xing shi 
退休干部	tui xiu gan bu 
党政领导	dang zheng ling dao 
特权	te quan 
经营性	jing ying xing 
物质文明	wu zhi wen ming 
科技领域	ke ji ling yu 
联勤	lian qin 
剧毒	ju du 
二十五	er shi wu 
税收优惠政策	shui shou you hui zheng ce 
传统	chuan tong 
部长级	bu zhang ji 
统一	tong yi 
参与	can yu 
交界	jiao jie 
病科	bing ke 
使用者	shi yong zhe 
华侨	hua qiao 
隔震沟	ge zhen gou 
设计方案	she ji fang an 
救援队	jiu yuan dui 
未来	wei lai 
总监	zong jian 
清算组	qing suan zu 
拆解	chai jie 
小洋	xiao yang 
渔政	yu zheng 
万人次	wan ren ci 
粮棉	liang mian 
信息产业部	xin xi chan ye bu 
市场导向	shi chang dao xiang 
实施	shi shi 
班主任	ban zhu ren 
职业院校	zhi ye yuan xiao 
屏蔽	ping bi 
科技成果	ke ji cheng guo 
支撑体系	zhi cheng ti xi 
七台河市	qi tai he shi 
监督管理机构	jian du guan li ji gou 
农民负担	nong min fu dan 
长衔	zhang xian 
路政	lu zheng 
不满	bu man 
萧山	xiao shan 
自然人	zi ran ren 
南疆	nan jiang 
蒙阴县	meng yin xian 
美的	mei de 
信贷政策	xin dai zheng ce 
注册资本	zhu ce zi ben 
香港	xiang gang 
居民	ju min 
清查工作	qing cha gong zuo 
华山医院	hua shan yi yuan 
置换	zhi huan 
外专局	wai zhuan ju 
重整	zhong zheng 
管党	guan dang 
基础设施	ji chu she shi 
环江毛南族自治县	huan jiang mao nan zu zi zhi xian 
科普活动	ke pu huo dong 
纪律检查	ji lv jian cha 
第二轮	di er lun 
冠以	guan yi 
生产经营者	sheng chan jing ying zhe 
亚洲杯	ya zhou bei 
农林	nong lin 
互相监督	hu xiang jian du 
申请专利	shen qing zhuan li 
产品销售	chan pin xiao shou 
政治权利	zheng zhi quan li 
制度化	zhi du hua 
先锋	xian feng 
国界	guo jie 
事由	shi you 
先进经验	xian jin jing yan 
销售额	xiao shou e 
佳世客	jia shi ke 
凸显	tu xian 
对党	dui dang 
退回	tui hui 
接口标准	jie kou biao zhun 
抢险	qiang xian 
离休干部	li xiu gan bu 
力度	li du 
年度报告	nian du bao gao 
招标人	zhao biao ren 
废止	fei zhi 
乡镇党委	xiang zhen dang wei 
宣言	xuan yan 
桐城市	tong cheng shi 
回应	hui ying 
提任	ti ren 
对待	dui dai 
庙村	miao cun 
信息化部	xin xi hua bu 
医学院	yi xue yuan 
大坪	da ping 
适应	shi ying 
诊所	zhen suo 
开始	kai shi 
职能作用	zhi neng zuo yong 
发起人	fa qi ren 
酒泉	jiu quan 
明确要求	ming que yao qiu 
获利	huo li 
播出	bo chu 
全面完成	quan mian wan cheng 
现实	xian shi 
春耕	chun geng 
研究所	yan jiu suo 
宝鸡市	bao ji shi 
居民区	ju min qu 
调出	diao chu 
武装	wu zhuang 
气体	qi ti 
级次	ji ci 
建设费	jian she fei 
述职	shu zhi 
安全事故	an quan shi gu 
竣工	jun gong 
在线	zai xian 
编制工作	bian zhi gong zuo 
数据保护	shu ju bao hu 
榜样	bang yang 
开办	kai ban 
综治办	zong zhi ban 
中西医	zhong xi yi 
服务体系	fu wu ti xi 
供求	gong qiu 
加装	jia zhuang 
教导员	jiao dao yuan 
副董事长	fu dong shi zhang 
学校食堂	xue xiao shi tang 
核对	he dui 
养护	yang hu 
煤层气	mei ceng qi 
一九八九年	yi jiu ba jiu nian 
储运	chu yun 
版权局	ban quan ju 
过渡期	guo du qi 
淮海	huai hai 
生活圈	sheng huo quan 
前向	qian xiang 
明确提出	ming que ti chu 
高毒	gao du 
大师	da shi 
布局合理	bu ju he li 
手机	shou ji 
快捷	kuai jie 
市场潜力	shi chang qian li 
天津市	tian jin shi 
班子成员	ban zi cheng yuan 
地方人民政府	di fang ren min zheng fu 
核设施	he she shi 
总编辑	zong bian ji 
市场规律	shi chang gui lv 
理工大学	li gong da xue 
喜德县	xi de xian 
后勤保障	hou qin bao zhang 
法人资格	fa ren zi ge 
新区	xin qu 
监理	jian li 
纵深	zong shen 
老年教育	lao nian jiao yu 
中要	zhong yao 
福利院	fu li yuan 
纪委书记	ji wei shu ji 
机场	ji chang 
资源整合	zi yuan zheng he 
资质等级	zi zhi deng ji 
石河子市	shi he zi shi 
整理	zheng li 
劳动者	lao dong zhe 
人员名单	ren yuan ming dan 
薄弱	bo ruo 
反复	fan fu 
操作规程	cao zuo gui cheng 
盘中	pan zhong 
国家森林公园	guo jia sen lin gong yuan 
集中力量	ji zhong li liang 
收件	shou jian 
临泉县	lin quan xian 
环境监测	huan jing jian ce 
旱情	han qing 
抢注	qiang zhu 
老年	lao nian 
分置	fen zhi 
第七十七条	di qi shi qi tiao 
干流	gan liu 
甘肃省甘南藏族自治州	gan su sheng gan nan zang zu zi zhi zhou 
抢抓	qiang zhua 
监护室	jian hu shi 
带领	dai ling 
加大	jia da 
财政性	cai zheng xing 
抗战	kang zhan 
服务器	fu wu qi 
有关	you guan 
跨越	kua yue 
户籍制度	hu ji zhi du 
隔震	ge zhen 
电影	dian ying 
森林草原	sen lin cao yuan 
重度	zhong du 
有人	you ren 
股长	gu zhang 
班次	ban ci 
汪清县	wang qing xian 
锐意进取	rui yi jin qu 
平等互利	ping deng hu li 
交付	jiao fu 
居民身份证	ju min shen fen zheng 
垃圾处理	la ji chu li 
尼勒克县	ni lei ke xian 
集聚	ji ju 
解读	jie du 
中部	zhong bu 
二十	er shi 
协和医院	xie he yi yuan 
监管	jian guan 
文字	wen zi 
佳木斯市	jia mu si shi 
和睦	he mu 
进口商品	jin kou shang pin 
方法	fang fa 
乐城	le cheng 
策勒县	ce lei xian 
对接	dui jie 
成为	cheng wei 
首都国际机场	shou du guo ji ji chang 
从业	cong ye 
逐步	zhu bu 
工会主席	gong hui zhu xi 
供销合作	gong xiao he zuo 
期满	qi man 
平时	ping shi 
使馆	shi guan 
发债	fa zhai 
教师	jiao shi 
检查	jian cha 
承包工程	cheng bao gong cheng 
保障性租赁住房	bao zhang xing zu lin zhu fang 
补助	bu zhu 
必然	bi ran 
新台阶	xin tai jie 
永葆	yong bao 
交易市场	jiao yi shi chang 
承德市	cheng de shi 
实处	shi chu 
总公司	zong gong si 
有利	you li 
客户	ke hu 
财产损失	cai chan sun shi 
第一阶段	di yi jie duan 
交互	jiao hu 
人工成本	ren gong cheng ben 
国情	guo qing 
全省	quan sheng 
系统集成	xi tong ji cheng 
数据管理	shu ju guan li 
部属	bu shu 
生产能力	sheng chan neng li 
周年	zhou nian 
经贸关系	jing mao guan xi 
思想上	si xiang shang 
纵向	zong xiang 
中央政治局常务委员会	zhong yang zheng zhi ju chang wu wei yuan hui 
留归	liu gui 
各尽其责	ge jin qi ze 
国家标准委	guo jia biao zhun wei 
第三十五条	di san shi wu tiao 
归并	gui bing 
转岗	zhuan gang 
从事	cong shi 
国际惯例	guo ji guan li 
工业园	gong ye yuan 
尝试	chang shi 
检查室	jian cha shi 
汇出	hui chu 
不能	bu neng 
常态	chang tai 
兽医	shou yi 
特别	te bie 
中国电信	zhong guo dian xin 
兴旺	xing wang 
三线	san xian 
利用职权	li yong zhi quan 
俄罗斯	e luo si 
社会工作	she hui gong zuo 
签订协议	qian ding xie yi 
解除	jie chu 
石家庄市	shi jia zhuang shi 
劳动工资	lao dong gong zi 
指挥棒	zhi hui bang 
特许	te xu 
互惠互利	hu hui hu li 
依法办理	yi fa ban li 
调控	tiao kong 
知情	zhi qing 
多方	duo fang 
覆盖面	fu gai mian 
悠久	you jiu 
上门	shang men 
现货交易	xian huo jiao yi 
符合规定	fu he gui ding 
拍照	pai zhao 
学院	xue yuan 
南至	nan zhi 
社会治安	she hui zhi an 
高端化	gao duan hua 
政府机构	zheng fu ji gou 
物质	wu zhi 
风电	feng dian 
会展	hui zhan 
条所列	tiao suo lie 
营业性	ying ye xing 
数据中心	shu ju zhong xin 
安吉县	an ji xian 
专业培训	zhuan ye pei xun 
特殊人群	te shu ren qun 
员工制	yuan gong zhi 
增设	zeng she 
工资制	gong zi zhi 
替代	ti dai 
住房城乡建设部	zhu fang cheng xiang jian she bu 
名单	ming dan 
实施规划	shi shi gui hua 
法定标准	fa ding biao zhun 
主要职责	zhu yao zhi ze 
医学生	yi xue sheng 
黑龙江	hei long jiang 
技术创新	ji shu chuang xin 
国家信访局	guo jia xin fang ju 
最终	zui zhong 
专家论证	zhuan jia lun zheng 
总责	zong ze 
涉外婚姻	she wai hun yin 
青海省人民政府	qing hai sheng ren min zheng fu 
导向性	dao xiang xing 
疫情	yi qing 
民事行为	min shi xing wei 
收益	shou yi 
安全观	an quan guan 
有所	you suo 
图书	tu shu 
抚慰	fu wei 
石家庄	shi jia zhuang 
四中全会	si zhong quan hui 
顺利开展	shun li kai zhan 
死亡	si wang 
邀请	yao qing 
慰问	wei wen 
